msc_022040_0010#0,"""อ๊ะ? มาทำอะไรในที่แบบนี้งั้นเหรอ?"""
msc_022040_0020#0,"""บางทีอาจจะมาหามาน่อนงั้นเหรอ?"""
msc_022040_0030#0,"""ถ้าเป็นแบบนั้นล่ะก็ ตอนนี้เธอไม่ได้อยู่ที่นี่หรอกนะ<br>เธอกำลังไปสำรวจพื้นที่อื่นอยู่น่ะ"""
msc_022040_0040#0,"""มาน่อนสบายดีไหม?"""
msc_022040_0050#0,"""เธอเข้ากับทีมสำรวจได้ดีหรือเปล่า?"""
msc_022040_0060#0,"""อื้ม คิดว่าเธอก็ทำได้ดีเลยล่ะ"""
msc_022040_0070#0,"""ไม่คิดว่าเธอจะมีปัญหาในการปรับตัวเข้ากับทุกคนหรอกนะ"""
msc_022040_0080#0,"""แม้แต่คนที่เคยมองเธอด้วยความสงสัยก็เริ่มจะเปลี่ยนใจกันแล้วล่ะ"""
msc_022040_0090#0,"""คงไม่มีใครปฏิเสธคุณค่าของสิ่งที่เธอทำให้ได้หรอกนะ"""
msc_022040_0100#0,"""แต่โชคร้ายที่ตัวมาน่อนเองดูเหมือนจะไม่สามารถ<br>ประเมินทัศนคติของกองทหารได้อย่างแม่นยำนัก"""
msc_022040_0110#0,"""แต่ถึงอย่างนั้น ก็คิดว่าความรู้สึกไม่สบายใจนั้นจะค่อยๆ จางหายไปเองเมื่อเวลาผ่านไปล่ะนะ"""
msc_022040_0120#0,"""ว่าแต่..."""
msc_022040_0130#0,"""รู้อะไรเกี่ยวกับพลังลึกลับที่ดูเหมือนว่าเธอจะมีบ้างไหม?"""
msc_022040_0140#0,"""พลังลึกลับงั้นเหรอ?"""
msc_022040_0150#0,"""หมายความว่ายังไงน่ะ?"""
msc_022040_0160#0,"""นั่นสิ... ไม่ทันสังเกตเห็นเลยงั้นเหรอ?"""
msc_022040_0170#0,"""อย่างที่คิดเลย ดูเหมือนจะไม่รู้เรื่องนี้สินะ"""
msc_022040_0180#0,"""กำลังพูดถึงพลังที่เธอแสดงออกมาตอนที่สู้กับ Nilus Stia น่ะ"""
msc_022040_0190#0,"""จำได้ไหม?"""
msc_022040_0200#0,"""...พลังอันมหาศาลนั่นมันคืออะไรกันแน่นะ?"""
msc_022040_0210#0,"""ไม่รู้เลยแฮะ"""
msc_022040_0220#0,"""พลังลึกลับ... ล่ะมั้ง"""
msc_022040_0230#0,"""...เข้าใจล่ะ..."""
msc_022040_0240#0,"""ช่วงนี้รู้ไหม มาน่อนใช้พลังแบบเดียวกันนั้น<br>ค่อนข้างบ่อยเลยล่ะในระหว่างการสำรวจของพวกเราน่ะ"""
msc_022040_0250#0,"""เพื่อช่วยเหลือสมาชิกในทีมสำรวจและคนอื่นๆ ที่อยู่ใกล้เคียงน่ะ"""
msc_022040_0260#0,"""ต้องขอบคุณเธอ พวกเราถึงสามารถดำเนินการวิจัยต่อไปได้โดยไม่มี<br>ผู้เสียชีวิตเลย แต่ว่ามีบางอย่างเกี่ยวกับเรื่องนั้นที่ทำให้รู้สึกเป็นกังวลน่ะ..."""
msc_022040_0270#0,"""ผู้บัญชาการเกลน (Glen) เองก็เคยเอาตัวเองไปอยู่แนวหน้า<br>เพื่อกำจัดศัตรูและปกป้องกองทหารของเขาให้พ้นจากอันตรายเหมือนกัน..."""
msc_022040_0280#0,"""ราวกับว่าต้องการเติมเต็มช่องว่างในหัวใจที่เกิดขึ้นตอนที่เขาสูญเสียฮิบานะ (Hibana) ไปน่ะ..."""
msc_022040_0290#0,"""รู้สึกแบบเดียวกันนั้นจากมาน่อนเลยล่ะ"""
msc_022040_0300#0,"""คิดว่าคนอย่างเธอน่าจะสามารถคุยกับเธอได้อย่างจริงจังนะ"""
msc_022040_0310#0,"""ถ้ามีโอกาส ก็ลองถามเธอเรื่องนี้ดูหน่อยก็แล้วกันนะ"""
msc_022040_0320#0,"""ดีใจที่ได้เจอนะ"""
