msc_022050_0010#0,"""...ฟู่"""
msc_022050_0020#0,"""มาเพื่อตรวจดูว่าฉันเป็นยังไงบ้างงั้นเหรอ?"""
msc_022050_0030#0,"""กังวลมากเกินไปแล้วนะ"""
msc_022050_0040#0,"""ได้ยินเรื่องพลังของเธอมาน่ะ"""
msc_022050_0050#0,"""เธอกำลังใช้พลังของเธออยู่ใช่ไหม?"""
msc_022050_0060#0,"""นั่นสินะ..."""
msc_022050_0070#0,"""...คิดไว้แล้วล่ะว่าข่าวคงจะแพร่ออกไป..."""
msc_022050_0080#0,"""พลังงั้นเหรอ..."""
msc_022050_0090#0,"""สังเกตเห็นแล้วสินะ..."""
msc_022050_0100#0,"""เพราะว่าเป็นเธอ จะอธิบายทุกอย่างให้ฟังก็แล้วกัน"""
msc_022050_0110#0,"""พลังที่ฉันใช้เรียกว่า 'Overboost' น่ะ"""
msc_022050_0120#0,"""มันเป็นพลังที่เซเฟตโต้ (Zephetto) มอบให้กับฉัน<br>เพื่อใช้ระหว่างภารกิจบนฮาลฟา (Halpha) น่ะ"""
msc_022050_0130#0,"""แต่ว่า มันถูกจำกัดให้ใช้เฉพาะในยามฉุกเฉินเท่านั้นน่ะ"""
msc_022050_0140#0,"""...ไม่อย่างนั้นความลับของฉันคงจะแตกไปแล้ว..."""
msc_022050_0150#0,"""...แต่ตอนนี้ ไม่จำเป็นต้องซ่อนพลังนั้นอีกต่อไปแล้วล่ะ"""
msc_022050_0160#0,"""นั่นก็เลยเป็นเหตุผลว่าทำไมฉันถึงใช้มันโดยไม่รู้สึกลังเลเลยยังไงล่ะ"""
msc_022050_0170#0,"""มันปลอดภัยงั้นเหรอ?"""
msc_022050_0180#0,"""แต่อย่าทำอะไรบ้าบิ่นล่ะ"""
msc_022050_0190#0,"""ไม่ต้องเป็นห่วงหรอกนะ"""
msc_022050_0200#0,"""ไม่ได้ทำอะไรบ้าบิ่นสักหน่อย"""
msc_022050_0210#0,"""ไม่เป็นไรหรอก"""
msc_022050_0220#0,"""แค่ตั้งใจจะใช้มันเพื่อดำเนินการสำรวจของพวกเราให้ปลอดภัยและรวดเร็วขึ้นก็เท่านั้นเอง"""
msc_022050_0230#0,"""สมาชิกคนอื่นๆ ในทีมก็ดีใจมากด้วยซ้ำ"""
msc_022050_0240#0,"""ที่สำคัญกว่านั้น เธอเป็นยังไงบ้างล่ะ?"""
msc_022050_0250#0,"""เลิกพูดเรื่องของฉันเถอะ เล่าให้ฟังหน่อยสิว่าช่วงนี้เป็นยังไงบ้าง"""
