msc_023050_0010#0,"""...หวา?!"""
msc_023050_0020#0,"""ต-ตกใจหมดเลย"""
msc_023050_0030#0,"""ดูเหมือนจะยังเก่งเรื่องการลบสัมผัสเหมือนเดิมเลยนะ"""
msc_023050_0040#0,"""ที่สำคัญกว่านั้น ได้ยินเรื่องไอน่ามาล่ะ"""
msc_023050_0050#0,"""ได้ยินมาว่าเธอกลายเป็นครูฝึกให้กับเด็กใหม่ ARKS แล้วสินะ"""
msc_023050_0060#0,"""เธอบอกว่าจะพยายามให้เต็มที่ล่ะ"""
msc_023050_0070#0,"""เป็นห่วงเธองั้นเหรอ?"""
msc_023050_0080#0,"""เธอคงจะ... ทำได้ดีด้วยตัวเองนั่นแหละ มั่นใจเลย"""
msc_023050_0090#0,"""ถ้าบอกว่าไม่เป็นห่วงก็คงจะโกหกล่ะนะ..."""
msc_023050_0100#0,"""...เธอปรับตัวเข้ากับสถานการณ์ต่างๆ<br>ได้ค่อนข้างเร็วอยู่แล้วล่ะ ดังนั้นเธอต้องทำได้ดีแน่ๆ"""
msc_023050_0110#0,"""ทางนี้ก็ต้องพยายามให้มากขึ้นเหมือนกันล่ะนะ"""
msc_023050_0120#0,"""ความพยายามในการค้นคว้าเหรอ?"""
msc_023050_0130#0,"""คืบหน้าไปถึงไหนแล้วล่ะ?"""
msc_023050_0140#0,"""นั่นสินะ..."""
msc_023050_0150#0,"""อ้า ก็..."""
msc_023050_0160#0,"""ตอนที่อยู่ที่เลเซียล (Leciel) รู้สึกเหมือนกับว่า<br>รู้เรื่องทุกอย่างเกี่ยวกับฮาลฟา (Halpha) ดีหมดแล้ว..."""
msc_023050_0170#0,"""แต่ตอนนี้ รู้สึกเหมือนมีคำถามมากกว่าคำตอบซะอีก..."""
msc_023050_0180#0,"""ตัวอย่างเช่น ระบบนิเวศของฮาลฟา (Halpha) ถูกรักษาไว้ได้<br>โดยปราศจากการแทรกแซงโดยตรงจากเลเซียล (Leciel) น่ะ"""
msc_023050_0190#0,"""เรื่องพวกนั้นเป็นระบบอัตโนมัติทั้งหมดเลยล่ะ จนแม้แต่พวกเราเองก็ยังไม่รู้เลยว่ามันทำงานยังไง"""
msc_023050_0200#0,"""...รวมไปถึงการผลิต DOLLS บนฮาลฟา (Halpha) ด้วย..."""
msc_023050_0210#0,"""งั้นเราก็หยุดพวก DOLLS ไม่ได้น่ะสิ?"""
msc_023050_0220#0,"""งั้นการทำลาย Plants ก็คือทางเลือกเดียวของพวกเรา..."""
msc_023050_0230#0,"""...ไม่ใช่ตอนนี้หรอกนะ..."""
msc_023050_0240#0,"""นั่นควรจะเป็นทางเลือกสุดท้ายจริงๆ..."""
msc_023050_0250#0,"""อย่างแรก อยากจะตรวจสอบให้ละเอียดก่อนว่ามีการส่งพลังงานไปยังแต่ละภูมิภาคยังไงน่ะ"""
msc_023050_0260#0,"""หลังจากนั้น จะทบทวนกระบวนการผลิต DOLLS อีกครั้งน่ะ"""
msc_023050_0270#0,"""มันต้องมีทางสิ"""
msc_023050_0280#0,"""ฝากด้วยนะ"""
msc_023050_0290#0,"""แน่นอน จะต้องหามันให้พบให้ได้..."""
msc_023050_0300#0,"""นั่นเป็นสิ่งเล็กน้อยที่สุดที่สามารถทำได้น่ะ"""
msc_023050_0310#0,"""แต่เลิกพูดเรื่องของฉันเถอะ"""
msc_023050_0320#0,"""อยากจะให้ช่วยดูแลไอน่าด้วยนะ เข้าใจไหม?"""
msc_023050_0330#0,"""ได้เลย"""
msc_023050_0340#0,"""เธอก็เป็นห่วงนายเหมือนกันนะ"""
msc_023050_0350#0,"""ขอบใจนะ"""
msc_023050_0360#0,"""...ไม่เป็นไรหรอก... จริงๆ นะ"""
msc_023050_0370#0,"""เอาล่ะ ไปก่อนนะ"""
msc_023050_0380#0,"""โชคดีนะ"""
