msc_022070_0010#0,"""...แฮ่ก..."""
msc_022070_0020#0,"""เป็นอะไรไปเหรอ?"""
msc_022070_0030#0,"""ไม่เป็นไรนะ?"""
msc_022070_0040#0,"""...เอ๊ะ?"""
msc_022070_0050#0,"""อ้า เธอนั่นเอง"""
msc_022070_0060#0,"""...อ๊ะ"""
msc_022070_0070#0,"""อ้าว เธอนี่เอง"""
msc_022070_0080#0,"""...ขอโทษทีนะ เหม่อไปแป๊บนึงน่ะ"""
msc_022070_0090#0,"""...ไม่เป็นไรหรอก ไม่ต้องเป็นห่วงนะ"""
msc_022070_0100#0,"""จริงเหรอ?"""
msc_022070_0110#0,"""รู้หรอกน่าว่ากำลังฝืนตัวเองอยู่น่ะ..."""
msc_022070_0120#0,"""จริงสิ"""
msc_022070_0130#0,"""ไม่ได้ฝืนสักหน่อย"""
msc_022070_0140#0,"""รู้ขีดจำกัดของตัวเองดีน่า"""
msc_022070_0150#0,"""ก็แค่กำลังพักเหนื่อยเท่านั้นเองแหละ"""
msc_022070_0160#0,"""ไม่ใช่เรื่องใหญ่อะไรหรอกนะ"""
msc_022070_0170#0,"""...เอาเถอะ ยังมีจุดที่ต้องไปสำรวจอีก ไว้เจอกันนะ"""
msc_022070_0180#0,"""มาหามาน่อนงั้นเหรอ?"""
msc_022070_0190#0,"""เธอดูเหนื่อยมากเลยนะ"""
msc_022070_0200#0,"""เกิดอะไรขึ้นกับเธอหรือเปล่า?"""
msc_022070_0210#0,"""...อื้อ นั่นสิ"""
msc_022070_0220#0,"""อะไรน่ะเหรอ...? ก็..."""
msc_022070_0230#0,"""เธอแทบจะไม่ได้พักเลยน่ะ"""
msc_022070_0240#0,"""คิดว่าคงรู้เรื่องพลังของเธอแล้วใช่ไหมล่ะ"""
msc_022070_0250#0,"""ดูเหมือนเธอจะใช้พลังนั้นทุกครั้งที่มีโอกาส<br>ถ้ามันช่วยให้เป้าหมายลุล่วงได้น่ะ"""
msc_022070_0260#0,"""ต้องขอบคุณเธอเลยล่ะ การสำรวจของพวกเราถึงได้ราบรื่นสุดๆ เลย"""
msc_022070_0270#0,"""ด้วยเหตุนี้ กองทหารก็เลยยกย่องเธอมากเลยล่ะ"""
msc_022070_0280#0,"""อาจจะพูดได้เลยว่าพวกเขาเชื่อใจเธอน่ะ"""
msc_022070_0290#0,"""...แต่การทำอะไรบ้าบิ่นจนตัวเองต้องบาดเจ็บน่ะมันไร้ความหมายนะ"""
msc_022070_0300#0,"""เธอก็พูดแบบนั้นเหมือนกันแหละ แต่..."""
msc_022070_0310#0,"""มีบางอย่างที่ไม่สามารถทำสำเร็จได้<br>ด้วยตัวคนเดียวหรอกนะ ไม่ว่าจะแข็งแกร่งแค่ไหนก็ตาม"""
msc_022070_0320#0,"""...ถึงเคยโดนเธอเทศน์<br>เรื่องเดียวกันนี้ก็เถอะ ก็เลยไม่ค่อยมีสิทธิ์พูดเท่าไหร่"""
msc_022070_0330#0,"""..."""
msc_022070_0340#0,"""ช่างเถอะ"""
msc_022070_0350#0,"""คอยดูไปก่อนก็แล้วกันว่าจะเป็นยังไงต่อไป"""
