name_7245#0,"""เซียมมี่"""
name_7224#0,"""ซิเตร"""
ssn_019150_002_0010#0,"""อา... มาถึงแล้วสินะ จะขอแนะนำตัวอีกครั้งนะ"""
ssn_019150_002_0020#0,"""ฉันเซียมมี่ ทำงานในแผนกเทคโนโลยี และรับผิดชอบเรื่องการพัฒนาอุปกรณ์..."""
ssn_019150_002_0030#0,"""ตอนนี้กำลังให้คำแนะนำพวก ARKS เกี่ยวกับวิธีเสริมความแข็งแกร่งให้อุปกรณ์อยู่น่ะ"""
ssn_019150_002_0040#0,"""...ดูเหมือนว่าคนที่ปกติทำหน้าที่นี้ วันนี้จะยุ่งอยู่น่ะ ถึงแม้ว่าตัวเองก็ค่อนข้างจะ... ยุ่งอยู่เหมือนกันก็เถอะ..."""
ssn_019150_002_0050#0,"""...เอ่อ ว่าเรื่องต่อไปกันดีกว่า..."""
ssn_019150_002_0051#0,"""อา... มาถึงแล้วสินะ ขอบคุณมากเลย"""
ssn_019150_002_0052#0,"""...รู้อยู่แล้วว่าต้องพึ่งพาคุณได้แน่ๆ <%me>..."""
ssn_019150_002_0053#0,"""...เอาล่ะ มาเข้าเรื่องที่เรียกมาดีกว่า..."""
ssn_019150_002_0060#0,"""บางคนก็ไม่ค่อยได้เสริมความแข็งแกร่งให้อุปกรณ์ของตัวเองเท่าไหร่น่ะ..."""
ssn_019150_002_0070#0,"""แต่มันก็สำคัญพอๆ กับการขัดเกลาทักษะการต่อสู้เลยนะ ดังนั้น..."""
ssn_019150_002_0080#0,"""ถ้ามีคนสนใจเรื่องนี้มากขึ้นก็จะดีใจมากเลยล่ะ..."""
ssn_019150_002_0090#0,"""อ-อันดับแรก เริ่มจากวิธีรวบรวมเงินทุนที่จำเป็นก่อนดีกว่า"""
ssn_019150_002_0100#0,"""การ Grind อุปกรณ์ก็ใช้เงินเยอะเหมือนกันนะ..."""
ssn_019150_002_0110#0,"""เพราะงั้นช่วยออกไปหา Alpha Reactor หน่อย... ได้โปรดเถอะ"""
ssn_019150_002_0120#0,"""คิดว่า... น่าจะหาได้ข้างนอกเมืองนั่นแหละ วางอยู่ตามพื้นที่เลย ลักษณะเหมือนแกนพลังงานสีทองเปล่งประกายน่ะ"""
ssn_019150_002_0130#0,"""ก-ก็ เอ่อ... ขอให้โชคดีนะ!"""
ssn_019150_002_1010#0,"""อา ยินดีต้อนรับ... กลับมานะ"""
ssn_019150_002_1020#0,"""...เอ่อ ขอโทษทีถ้ามัน... ดูเหมือนใช้งานให้ไปวิ่งเต้นซะทั่วเลย..."""
ssn_019150_002_1030#0,"""คิดว่า... นั่นน่าจะครบทุกอย่างที่จำเป็นแล้วล่ะ... สำหรับการ Grind อุปกรณ์น่ะ"""
ssn_019150_002_1040#0,"""...หลังจากนั้นก็ เอาไปใช้อัปเกรดอุปกรณ์ที่เลือกได้เลย..."""
ssn_019150_002_1050#0,"""แต่ถ้าให้พูดล่ะก็ ตัวอุปกรณ์น่ะเป็นเรื่องที่ถนัดกว่าซะอีก..."""
ssn_019150_002_1060#0,"""อธิบายรายละเอียดของอุปกรณ์ ARKS ทั้งหมดคงใช้เวลานานเกินไป ไว้คราวหน้าก็แล้วกัน..."""
ssn_019150_002_1070#0,"""และนั่น... ก็คือการบรรยายสั้นๆ เกี่ยวกับการเสริมความแข็งแกร่งให้อุปกรณ์ล่ะ"""
ssn_019150_002_2010#0,"""เซียมมี่ เป็นไงบ้าง?"""
ssn_019150_002_2020#0,"""ซิเตร?"""
ssn_019150_002_2030#0,"""ขอโทษทีที่ต้องให้มาช่วยทำงานแทนนะ วันนี้คนขาดเยอะมาก เลยต้องอยู่ช่วยที่นี่น่ะ"""
ssn_019150_002_2040#0,"""ไม่เป็นไร... ไม่รังเกียจหรอก"""
ssn_019150_002_2050#0,"""โอเค ขอบใจนะ เธอนี่สุดยอดเลย"""
ssn_019150_002_2060#0,"""...เอ๊ะ เดี๋ยวนะ นั่นสมาชิก ARKS คนใหม่ที่เขาลือกันไม่ใช่เหรอ?"""
ssn_019150_002_2070#0,"""เป็นไง ได้เสริมความแข็งแกร่งให้อุปกรณ์ตามคำแนะนำของเซียมมี่บ้างหรือเปล่า?"""
ssn_019150_002_2080#0,"""อา ยังไม่ได้ทำเลย... ที่จริงแล้วเราเพิ่งจะคุยกันเสร็จเอง..."""
ssn_019150_002_2090#0,"""อ้อ อืม เข้าใจล่ะ"""
ssn_019150_002_2100#0,"""จริงสิ! ถ้าไหวล่ะก็ ขอร้องอะไรสักอย่างได้ไหม?"""
ssn_019150_002_2110#0,"""ทำหลังจากจัดการเรื่องอุปกรณ์เสร็จแล้วก็ได้ เดี๋ยวจะส่งรายละเอียดคำขอไปให้นะ!"""
ssn_019150_002_2120#0,"""ไม่ต้องรีบหรอก ว่างเมื่อไหร่ก็ค่อยทำ ขอบใจนะ! ไปล่ะ!"""
ssn_019150_002_2130#0,"""...ซิเตร? ฮัลโหล? ...ร-รักอิสระเหมือนเคยเลยนะ..."""
ssn_019150_002_2140#0,"""...เธอคนนี้แหละที่ขอให้มาช่วยทำงานแทนน่ะ"""
ssn_019150_002_2150#0,"""ถ้าไม่เป็นการรบกวนมากไป ช่วยทำคำขอที่เธอส่งไปให้หน่อยได้ไหม"""
ssn_019150_002_2160#0,"""ขอบคุณนะ และก็... ดูแลตัวเองด้วยล่ะ"""
ssn_019150_002_3010#0,"""เซียมมี่ เป็นไงบ้าง?"""
ssn_019150_002_3020#0,"""ซิเตร?"""
ssn_019150_002_3030#0,"""ขอโทษทีที่ต้องให้มาช่วยทำงานแทนนะ วันนี้คนขาดเยอะมาก เลยต้องอยู่ช่วยที่นี่น่ะ"""
ssn_019150_002_3040#0,"""ไม่เป็นไร... ไม่รังเกียจหรอก"""
ssn_019150_002_3050#0,"""โอเค ขอบใจนะ เธอนี่สุดยอดเลย"""
ssn_019150_002_3060#0,"""...เอ๊ะ เดี๋ยวนะ นั่น <%me> อยู่ด้วยเหรอ?"""
