name_7443#0,"""Marimo"""
ssn_015340_0001#0,"""เธอคงเป็น... หนึ่งในผู้มาใหม่ที่เพิ่งมาถึง Stia สินะ?"""
ssn_015340_0002#0,"""ทนกับความร้อนได้ดีไหม? อย่าลืมดื่มน้ำให้เพียงพอก่อนไปต่อสู้ด้วยล่ะ"""
ssn_015340_0003#0,"""ไม่ว่าจะมีศัตรูหรือไม่ก็ตาม การไปเป็นลมล้มพับอยู่ข้างนอกนั่นท่ามกลางความร้อนแบบนั้นมันอันตรายมากนะ"""
ssn_015340_0101#0,"""เริ่มชินกับสภาพอากาศของ Stia แล้วสินะ?"""
ssn_015340_0102#0,"""ฉันชื่อ Marimo เป็นนักวิจัยด้านสิ่งแวดล้อมของ Stia"""
ssn_015340_0103#0,"""Stia เป็นสถานที่ที่อันตรายมาก ฉันเลยรวบรวมข้อมูลเพื่อหาวิธีทำให้ทุกคนอยู่ที่นี่ได้ง่ายขึ้นน่ะ"""
ssn_015340_0104#0,"""ถ้าไม่รังเกียจ พอจะช่วยงานวิจัยของฉันหน่อยได้ไหม?"""
ssn_015340_0105#0,"""มีที่ที่อยากให้เธอเดินทางไปแทนฉันหน่อยน่ะ"""
ssn_015340_0201#0,"""มีเกาะที่ลึกลับมากๆ อยู่ที่ Stia's Fringes น่ะ"""
ssn_015340_0202#0,"""ฉันอยากรู้เกี่ยวกับเกาะนั้นให้มากขึ้น เธอช่วยไปที่นั่นแล้วบันทึกข้อมูลมาให้หน่อยได้ไหม?"""
ssn_015340_0203#0,"""ดูแลตัวเองด้วยนะ เข้าใจไหม?"""
ssn_015340_0301#0,"""งั้นเหรอ... เอาไว้โอกาสหน้าละกันนะ?"""
