name_7443#0,"""Marimo"""
ssn_015620_0001#0,"""โปรดเตรียมตัวให้พร้อมเสมอนะ ทั้งตอนต่อสู้แล้วก็ตอนสำรวจด้วย"""
ssn_015620_0002#0,"""การกลับมาอย่างปลอดภัยน่ะ สำคัญที่สุดเลยนะ เข้าใจไหม?"""
ssn_015620_0101#0,"""ขอโทษนะ พอจะมีเวลาสักหน่อยไหม?"""
ssn_015620_0102#0,"""ฉันอยากจะขอให้เธอช่วยงานสำรวจอีกสักงานน่ะ"""
ssn_015620_0103#0,"""แค่ว่า... สถานที่มันค่อนข้างน่ากลัวน่ะ ฉันเลยลังเลที่จะขอน่ะ..."""
ssn_015620_0104#0,"""เอาเถอะ แค่เธอยอมฟังสิ่งที่ฉันจะพูดก็ดีใจแล้วล่ะ"""
ssn_015620_0201#0,"""ที่ที่อยากให้ไปสำรวจ... อยู่ลึกเข้าไปใน Outer Mediola: Sector 1 น่ะ"""
ssn_015620_0202#0,"""มันเป็นที่ที่อันตรายมากๆ แล้วก็มีศัตรูร้ายกาจอยู่เต็มไปหมดเลย"""
ssn_015620_0203#0,"""ถึงจะรู้ว่ามันอันตรายขนาดนี้ เธอก็ยังยินดีที่จะช่วยไหม?"""
ssn_015620_0301#0,"""งั้นเหรอ... ก็ช่วยไม่ได้ล่ะนะ"""
ssn_015620_0401#0,"""คงมีทิวทัศน์อีกมากมายบนโลกนี้ที่ยังไม่เคยมีใครเห็นแน่ๆ"""
ssn_015620_0402#0,"""เช่นเดียวกัน ถ้าเธอพบทิวทัศน์อะไรใหม่ๆ ก็ช่วยบอกฉันด้วยนะ"""
ssn_015620_0403#0,"""ฉันจะตั้งตารอเลยล่ะ เข้าใจไหม?"""
