name_7443#0,"""Marimo"""
ssn_015460_0001#0,"""ถ้าลองเปลี่ยนมุมมองดู แม้แต่ทิวทัศน์ที่เห็นอยู่ทุกวันก็อาจให้ความรู้สึกที่ต่างออกไปได้นะ รู้ไหม?"""
ssn_015460_0002#0,"""อย่างเช่น การมองลงมาจากที่สูง เธออาจจะค้นพบอะไรใหม่ๆ ก็ได้ จริงไหม?"""
ssn_015460_0101#0,"""ขอบคุณที่ช่วยก่อนหน้านี้นะ! ฉันเอาข้อมูลนั้นมาวิเคราะห์ต่อได้แล้วล่ะ"""
ssn_015460_0102#0,"""สมกับที่ Bergmann บอกไว้เลย เธอพึ่งพาได้จริงๆ!"""
ssn_015460_0103#0,"""อ๊ะ Bergmann เป็นเหมือนอาจารย์ของฉันน่ะ เขาเป็น ARKS จาก Aelio ที่ชอบการปีนเขามากๆ"""
ssn_015460_0104#0,"""เขาพาฉันไปดูสถานที่ต่างๆ มากมาย แล้วก็สอนอะไรหลายๆ อย่างให้ฉันด้วย"""
ssn_015460_0105#0,"""ผลก็คือ ฉันเริ่มชอบการไปดูทิวทัศน์ต่างๆ แล้วตอนนี้ฉันก็เลยมาทำงานวิจัยด้านสิ่งแวดล้อมไงล่ะ"""
ssn_015460_0106#0,"""...ช่างเถอะ ฉันพูดนอกเรื่องไปไกลละ จริงๆ แล้วมีอีกที่ที่อยากให้เธอไปน่ะ ได้ไหม?"""
ssn_015460_0201#0,"""คราวนี้ฉันอยากให้เธอไปที่ Dreisen Plant น่ะ"""
ssn_015460_0202#0,"""ช่วยไปเก็บข้อมูลจากสถานที่ที่ฉันระบุไว้ทีนะ เข้าใจไหม?"""
ssn_015460_0301#0,"""งั้นเหรอ... เอาไว้ถ้ามีเวลาว่างก็บอกฉันนะ เข้าใจไหม?"""
ssn_015460_1101#0,"""สวัสดี~"""
ssn_015460_1102#0,"""เป็นยังไงบ้างตอนอยู่ที่ Stia?"""
ssn_015460_1103#0,"""สำหรับฉันน่ะ ขอบเขตการตรวจสอบมันกว้างขึ้น ทุกวันก็เลยยุ่งมากๆ เลยล่ะ รู้ไหม?"""
ssn_015460_1104#0,"""ยังมีอีกหลายที่ที่ฉันอยากเข้าไปตรวจสอบ เพราะงั้นฉันต้องทุ่มสุดตัวเลยล่ะ"""
ssn_015460_1105#0,"""ที่จริงแล้ว ถ้าไม่รังเกียจฉันอยากจะขอให้ช่วยอีกสักหน่อยน่ะ ว่าไงล่ะ?"""
ssn_015460_1201#0,"""คราวนี้ อยากขอให้ไปตรวจสอบน้ำตกลาวาใน Outer Mediola: Sector 2 น่ะ"""
ssn_015460_1202#0,"""ระวังอย่าตกลงไปในลาวานะ เข้าใจไหม?"""
ssn_015460_1301#0,"""แย่จัง... งั้นฉันจะตั้งตารอการมาเยี่ยมเยียนครั้งหน้านะ"""
