st_010060_fs_0005#0,"""A.P.238/2/20/11:30"""
st_010060_fs_0070#0,"""뭐, 뭐야!?"""
st_010060_fs_0080#0,"""관제실에서 아크스 전원에게 긴급 연락!<br>행성 나베리우스에서 코드 D 발동!<br>포톤 계수가 위험치에 달했습니다!"""
st_010060_fs_0090#0,"""다시 알려드립니다<br>행성 나베리우스에서 코드 D 발령!"""
st_010060_fs_0095#0,"""공간 침식을 관측, 출현합니다!"""
st_010060_fs_0100#0,"""어, 어이 파트너! 저거!"""
st_010060_fs_0110#0,"""말도 안 돼… 아무것도 없었는데 새까만 놈들이 나타났어…?"""
st_010060_fs_0130#0,"""다커 출현 관측!<br>공간허용 한계를 초과했습니다!"""
st_010060_fs_0140#0,"""전 아크스에게 통달!<br>최우선 명령 코드로 인해 다커를<br>향한 계엄령이 발령됐습니다!"""
st_010060_fs_0150#0,"""이놈들이… 다커라고?<br>아크스의 적, 우주의 적이고… 모든 걸 집어삼키는 존재."""
st_010060_fs_0160#0,"""왜! 이유가 뭐야!<br>나베리우스에 있을 리가 없잖아!"""
st_010060_fs_0170#0,"""……！"""
st_010060_fs_0180#0,"""이야… 무서울 만큼 적절한 타이밍.<br>만약을 위해 대기하고 있었던 게 정답이었군."""
st_010060_fs_0190#0,"""구조하러 와주셨군요!<br>다행이다, 살았어…"""
st_010060_fs_0200#0,"""안심하고 있을 여유 없어.<br>자, 회수 포인트는 이 앞에 있어.<br>돌파한다!"""
st_010060_fs_0210#0,"""자, 잠깐만요!<br>저희도 싸워야 되나요?"""
st_010060_fs_0220#0,"""아크스니까 당연히 싸워야지?<br>봐라, 너랑 다르게 옆에 있는 놈은<br>철저하게 준비하고 있잖아."""
st_010060_fs_0230#0,"""어, 어이, 파트너…<br>하아… 알았어, 알겠습니다요.<br>싸울 수밖에 없겠다 이거지?"""
st_010060_fs_0240#0,"""너 처음 싸워보는 것 치고는 대담한데?<br>장래가 꽤 기대되는군…<br>응? 아니, 잠깐만 실례."""
st_010060_fs_0250#0,"""이 얼굴 어디서 본 적이 있는 것 같은데…<br>어디서 봤더라."""
st_010060_fs_0260#0,"""뭐, 나중에 생각해 보면 되겠지.<br>루키들아, 그럼 가볼까?<br>잘 따라와라!"""
skit01#0,"""The day I was waiting for"""
skit02#0,"""서장 : 지금까지 이날을 기다려왔다"""
