name_7245#0,"""เซียมมี่"""
ssn_019230_002_0010#0,"""ส-สวัสดี...! ขอบคุณที่มาหานะ"""
ssn_019230_002_0020#0,"""เรื่องที่อยากจะคุยก็คือ เอิ่ม...<br>สิ่งที่กำลังเกิดขึ้นทั่ว Halpha เอิ่ม ตอนนี้น่ะ"""
ssn_019230_002_0030#0,"""ศัตรูที่มี Season Symbol...<br>ล-และศัตรูตัวอื่นๆ ด้วย...<br>มีจำนวนเพิ่มมากขึ้นเลยล่ะ"""
ssn_019230_002_0040#0,"""อยากจะ เอิ่ม... รวบรวมข้อมูลจากพวกมันน่ะ...<br>เพื่อนำไปพัฒนา เอิ่ม อุปกรณ์ใหม่ๆ"""
ssn_019230_002_0050#0,"""ก็เลยสงสัยว่า... จะช่วยหน่อยได้ไหม?"""
ssn_019230_002_0060#0,"""ข้อมูลนั้นน่ะ... เอิ่ม ยิ่งมีมากเท่าไหร่ ก็ยิ่งดี..."""
ssn_019230_002_0070#0,"""พ-เพราะงั้น จะช่วยใช่ไหม?"""
ssn_019230_002_0080#0,"""...ส-สีหน้าแบบนั้น เหมือนกับว่า... ตกลงสินะ?"""
ssn_019230_002_0090#0,"""...เข้าใจถูกใช่ไหม?"""
ssn_019230_002_0100#0,"""ง-งั้นก็... โชคดีนะ!"""
ssn_019230_002_0900#0,"""ก-การรวบรวมข้อมูล เอิ่ม... เป็นยังไงบ้าง?"""
ssn_019230_002_0910#0,"""ม-มีอะไรให้ฉันช่วยไหม...?"""
npc_menu_0010#0,"""แลกเปลี่ยน Seasonal Points (ถึง $(0))"""
npc_menu_0020#0,"""แลกเปลี่ยน New Year's '24 Seasonal Points (ถึง $(0))"""
npc_menu_0030#0,"""แลกเปลี่ยนแร่ (ถึง $(0))"""
npc_menu_0040#0,"""รีไซเคิลไอเทม (ถึง $(0))"""
npc_menu_0050#0,"""ถามเกี่ยวกับ Seasonal Event"""
npc_menu_0060#0,"""ปิดเมนู"""
npc_menu_1010#0,"""เกี่ยวกับ Seasonal Events"""
npc_menu_1020#0,"""เกี่ยวกับ Seasonal Enemies"""
npc_menu_1030#0,"""เกี่ยวกับ Mischief Symbols"""
npc_menu_1040#0,"""เกี่ยวกับ Seasonal Regional Mags"""
npc_menu_1050#0,"""เกี่ยวกับ Randomite"""
npc_menu_2000#0,"""ช่างเถอะ"""
