11_voice_NPC_5162_111#0,"""Что вы хотите узнать?"""
text01#0,"""Что такое \""Black Nyack\""?"""
text02#0,"""Как играть в \""Black Nyack\"" (Основное)"""
text03#0,"""Как играть в \""Black Nyack\"" (Продвинутое)"""
text04#0,"""Уйти"""
text00#0,"""О \""Black Nyack\"""""
text01#1,"""Black Nyack - игра казино, в которую могут играть<br>до пяти игроков одновременно.<br><br>За каждым столом вы можете выиграть монеты<br>казино, выиграв у дилера."""
text02#1,"""Цель игры - набрать <red>как можно больше очков<c>,<br>не превышая 21.<br>Если ваше количество очков ближе к значению 21,<br>чем у дилера, то вы выиграете.<br>Если ваш общий счёт <red>превышает 21, то вы<br>проиграете<c>, и монеты казино, которые вы<br>поставили, уйдут дилеру.<br>Если ваш общий счёт будет равен счёту дилера,<br>то тогда будет ничья, и монеты казино, которые<br>вы поставили, полностью вернутся вам.<br><br>Задача заключается в том, чтобы решить, хотите<br>ли вы придержать (хватит) сданные карты, или же<br>вытащить ещё в надежде увеличить количество<br>очков."""
text03#1,"""Карты делятся на четыре масти:<br>пики, червы, трефы и бубны.<br>В каждой масти по 13 карт, от туза до короля:<br>всего 52 карты.<br><br>После каждой игры карты тасуются."""
text04#1,"""\""Ценность тузов\""<br>Туз (A) стоит от 1 до 11 очков, в зависимости<br>от выбора игрока.<br><br>\""Ценность от валетов до королей\""<br>Валет (J), королева (Q) или король (K)<br>стоят по 10 очков.<br><br>※Дилер всегла будет брать карту, если его общий<br>счёт будет составлять 16 или меньше.<br>Обычно он прекращает розыгрыш, если у него<br>есть 17 или более очков, но он не может<br>из прихоти рискнуть и разыграть ещё одну карту.<br><br>※Если ваш общий счёт равен 21, то<br>вы автоматически выбираете \""ХВАТИТ\""."""
text05#0,"""<red>Special Card<c><br><br>Количество очков, которые даёт данная карта,<br>будет обновляться с каждым новым броском костей.<br>Каждый раз, когда выпадает одна из карт,<br>бросается кубик, чтобы определить количество<br>очков, даваемых картами.<br>Если вытягивается более одной Special Card,<br>значения всех бросков костей суммируются.<br>Кости, которые бросают дилеры и игроки, разные,<br>и, следовательно, имеют разные результаты.<br><br>Текущее количество очков Special Card отражается<br>в правом верхнем углу экрана во время игры."""
text00#1,"""Как играть в \""Black Nyack\"" (Основное)"""
text01#2,"""Black Nyack - кароточная игра, в которую могут<br>играть до пяти игроков против одного дилера.<br><br><red>Если хотите поиграть с друзьями, просто сядьте<br>за один стол.<c>"""
text02#2,"""Вы можете начать играть, просто заняв любое<br>свободное место за любым столом.<br>При входе выберите свою первую ставку.<br>Дилер будет соответствовать вашей ставке,<br>поэтому чем она выше, тем больше монет казино<br>вы потенциально можете выиграть.<br><br>Монеты казино выплачиваются каждый раз после<br>каждой игры.<br><br>Если хотите продолжить игру, выберите новую<br>ставку после окончания игры.<br><br>※После каждой игры карты тасуются."""
text03#2,"""Кнопка [←] отвечает за переключением и<br>скрытием общего счёта всех открытых карт в руке.<br>Кнопку [Esc] можно использовать для выхода<br>из игры.<br><br>Когда наступит ваша очередь, появится<br>окно выбора.<br>Это окно содержит следующие варианты:<br>\""Взять ещё (Взять карту)\""<br>\""Хватит (Не брать карту)\""<br>\""УДВОИТЬ\""<br><br><red>※Если вы выйдите уйдёте в середине игры,<br>ваша ставка не будет возвращена, а выигрыш<br>не будет выплачен.<c>"""
