name_7006#0,"""Стагги"""
msn_011350_020_0001#0,"""Так это ты прибыл(а) в Централ-Сити!<br>Добро пожаловать!"""
msn_011350_020_0002#0,"""Давай сражаться и сражаться, чтобы побеждать,<br>зарабатывать и иметь лучшее снаряжение,<br>чем имеем сейчас!"""
msn_011350_020_0101#0,"""Что случилось? Что не так?"""
msn_011350_020_0102#0,"""Чего? Хочешь узнать то,<br>что тебе поможет в бою?"""
msn_011350_020_0103#0,"""Я жадл этого!"""
msn_011350_020_0104#0,"""Хорошо, слушай сюда...<br>Оружия можно... “комбинировать”!"""
msn_011350_020_0105#0,"""Это называется “мульти-оружием”!<br>Почему бы тебе не попробовать сделать такое?"""
msn_011350_020_0106#0,"""Мульти-оружие можно создавать<br>в лаборатории предметов."""
msn_011350_020_0107#0,"""Там можно комбинировать любое оружиме,<br>если оно относится к одной серии."""
msn_011350_020_0108#0,"""Собравшись делать такое, не забудь<br>про катализаторы и “минералы”!"""
msn_011350_020_0109#0,"""Сейчас для тебя это может оказаться дорогим!<br>На этот раз я поделюсь с тобой, так что<br>можешь спокойно идти в лабораторию!"""
msn_011350_020_0201#0,"""Вы получили: Фотонный кварц (20 шт) и 50000 <pict reb_meseta>месеты."""
msn_011350_020_0301#0,"""Вы получили: Фотонный кварц (2 шт) и 200 <pict reb_meseta>месеты."""
msn_011350_020_0401#0,"""Ну что? Как тебе создание мульти-оружия?"""
msn_011350_020_0402#0,"""Не знаю по какой причине, но это<br>комбинирование - это так прекрасно!"""
msn_011350_020_0403#0,"""Объеденив два оружия, вы расширите свои возможности в бою!<br>Это действительно захватывает!"""
msn_011350_020_0404#0,"""Пробуй разные комбинации<br>и создавайте крутое оружие!"""
