Title#0,"""La pesadilla subterranea"""
Explanation#0,"""Debajo del desierto de Epic en Omega,<br>hay una fuerte presencia de 【Apprentice】<br>Seremos acompañados por el<br>\""Photon Particle Cannon Carrier\"" para<br>derrotarle ¡Por favor expulsale con el!<br>――――――――――――――――――――<br>Veces que se puede hacer / 1 Vez<br>Limite de Daño Maximo / 999999<br>Fracaso: Fallar la mision, Fin del Tiempo<br>Destruccion del \""Photon Particle Cannon\"""""
SimpleExplanation#0,"""¡Derrota ha 【Apprentice】!"""
NpcComMsg1#0,"""A partir de ahora, comenzaremos la batalla en contra Dark Falz Apprentice en el subsuelo del Reino de Epic."""
NpcComMsg2#0,"""En la primer etapa de la batalla requeriremos que escoltes a nuestra arma especial, el \""Photon Particle Cannon Carrier\"" hasta el area final."""
NpcComMsg3#0,"""Si llegamos hasta el area final, deberiamos poder derrotarle. Sin embargo, esperamos un contraataque mientras estamos allí, ¡Así que ten mucho cuidado!"""
a1#0,"""Completa cierta orden de cliente."""
a2#0,"""Completa cierta orden de cliente."""
a3#0,"""Poseer la Licencia Super Dificil."""
a4#0,"""Poseer la Licencia Super Dificil."""
a5#0,"""スーパーハード受注許可証の所持"""
