msc_020190_0010#0,"""무슨 일이야?"""
msc_020190_0020#0,"""너희가 돌즈를 만들었다.<br>방금 그렇게 말했다."""
msc_020190_0030#0,"""그렇다는 건 너희들이 많은 동료들을,<br>가족들을 죽여왔다는 거지?"""
msc_020190_0040#0,"""……."""
msc_020190_0050#0,"""우리가 태어나기 훨씬 전부터,<br>너희들은 그 \""실험\""을 계속해 왔어."""
msc_020190_0060#0,"""……."""
msc_020190_0070#0,"""어때?"""
msc_020190_0080#0,"""그렌, 진정해."""
msc_020190_0090#0,"""우선 이야기를 끝까지 들어보자."""
msc_020190_0100#0,"""칫…."""
msc_020190_0110#0,"""미안해.<br>으음, 파리아, 얘기를 계속 해줘."""
msc_020190_0120#0,"""…저희는 돌즈를 만들어,<br>이 할파에 떨어뜨렸습니다."""
msc_020190_0130#0,"""무슨 목적으로?"""
msc_020190_0140#0,"""\""다가올 날\""에 대비하기 위해…."""
msc_020190_0150#0,"""더 강한…."""
msc_020190_0160#0,"""\""아크스\""를 만들기 위해."""
name01#0,"""？？？"""
