name_7024#0,"""グイーデン"""
msn_005002_0001#0,"""よく来てくれた.<br>私は, グイーデン.アークスたちの教導官を務めている."""
msn_005002_0002#0,"""アークスとは…この地で,<br>\""ドールズ\""という敵と戦う戦士のことだ."""
msn_005002_0003#0,"""キミのことを, そのアークスの一員として歓迎する.<br>私たちと共に, ドールズと戦ってもらいたい."""
msn_005002_0004#0,"""…とはいえ, キミはここに来たばかりだ.<br>まだ, わからないことも多いだろう."""
msn_005002_0005#0,"""私がサポートするので,<br>アークスとしての心得を学んでほしい."""
msn_005002_0006#0,"""コクーンはセントラルシティを서부 の方に出て, その先にある."""
msn_005002_0007#0,"""まずは…, \""コクーン\""で腕試しだな.<br>コクーンは, アークスの訓練場のようなところだ."""
msn_005002_0008#0,"""そこで基本的な技能を習得できるだろう.<br>頑張ってくれ."""
msn_005002_0101#0,"""コクーンの場所は,<br>先ほどと同じく座標を送っておいた."""
msn_005002_0102#0,"""ガイドマーカーの指示す場所に向かってくれ."""
msn_005002_0103#0,"""どんなところなのかは,<br>行ってみればわかるだろう."""
msn_005002_0201#0,"""よし, 戻ってきたな."""
msn_005002_0202#0,"""では, 次に移ろう."""
msn_005002_0203#0,"""この広い大地で, 神出鬼没な敵と戦うのは大変だ.<br>そこで, 便利な移動手段を教えておく."""
msn_005002_0204#0,"""ガイドマーカーの指す場所に,<br>\""リューカーデバイス\""という巨大な装置がある."""
msn_005002_0205#0,"""そこに向かってくれ."""
msn_005002_0301#0,"""どうした?リューカーデバイスだぞ.<br>ガイドマーカーのところに向かうんだ."""
msn_005002_0302#0,"""焦らずに取り組んでくれ."""
