msc_020180_0010#0,"""あの女の子は, メディカルセンターで治療中."""
msc_020180_0020#0,"""마논のことについては,<br>クロフォードたちが調査中."""
msc_020180_0030#0,"""じれったいけど,<br>今は待つしかなさそうだね."""
msc_020180_0040#0,"""…마논は, あそこに\""帰った\""のかな?"""
msc_020180_0050#0,"""마논は, …あたしたちの…."""
msc_020180_0060#0,"""\""敵\""?"""
msc_020180_0070#0,"""そんなはずはない."""
msc_020180_0080#0,"""마논は마논だ."""
msc_020180_0090#0,"""…そう…だよね."""
msc_020180_0100#0,"""うん, そうだよね…."""
msc_020180_0110#0,"""もしも, 마논が本当にあそこにいるんだとしたら…."""
msc_020180_0120#0,"""きっとあたしたちのために,<br>ハルファの人たちのために, 行ったんだと思う."""
msc_020180_0130#0,"""誰よりも, あたしたちが마논のことを<br>信じてあげなくちゃ."""
msc_020180_0140#0,"""…だよね?"""
msc_020180_0150#0,"""聞こえますか?"""
msc_020180_0160#0,"""どうしたの?ラン?"""
msc_020180_0170#0,"""ふたりともいますね."""
msc_020180_0180#0,"""あの女の子が, 目を覚ましました."""
msc_020180_0190#0,"""本当に?よかった."""
msc_020180_0200#0,"""でも, ちょっと困ったことになっていまして.<br>こちらに来てもらえますか?"""
msc_020180_0210#0,"""わかった.すぐに간다!"""
msc_020180_0220#0,"""急ごう!"""
