msc_020090_0010#0,"""ついに……ついにやったんだね！"""
msc_020090_0020#0,"""これで……終わった……のね？"""
msc_020090_0030#0,"""お父さん……みんな……。<br>やった……やったよ。"""
msc_020090_0040#0,"""……ありがとう。"""
msc_020090_0050#0,"""クロ……フォード……。"""
msc_020090_0060#0,"""本当に……ありがとう。"""
msc_020090_0070#0,"""長い……長い戦いだった。"""
msc_020090_0080#0,"""この勝利は、みんなの力でつかんだものだ。"""
msc_020090_0090#0,"""そのなかでも、一番の立役者はキミたち三人だ。"""
msc_020090_0100#0,"""キミたちが、各リージョンの<br>アークスたちの心を動かしてくれた。"""
msc_020090_0110#0,"""この光景は、<br>キミたちが築きあげてくれたものに他ならない。"""
msc_020090_0120#0,"""……だが……、<br>これで終わりじゃない。"""
msc_020090_0130#0,"""ドールズはまだ、このハルファに残っている。"""
msc_020090_0140#0,"""大きな脅威は去ったが、<br>しばらくは戦いが続くだろう。"""
msc_020090_0150#0,"""これからも、僕たちと一緒に、<br>戦ってくれるかい？"""
msc_020090_0160#0,"""まぁ、今はこの勝利を喜びあうとしよう。"""
