name_7439#0,"""아카츠키"""
ssn_015600_0001#0,"""브루더는 예전부터<br>인재 육성에 열심인 녀석이었지."""
ssn_015600_0002#0,"""그런데 설마 자네만큼의 인재를<br>찾아낼 줄은 꿈에도 몰랐지."""
ssn_015600_0003#0,"""나도 소대를 이끄는 사람으로서<br>부하들의 육성에 더 신경을 써야겠군."""
ssn_015600_0101#0,"""좋아, 마침 잘 왔어!"""
ssn_015600_0102#0,"""향후 우리 1소대는<br>\""드레드 에너미\"" 섬멸을 최우선 과제로 삼기로 했어."""
ssn_015600_0103#0,"""연구원과 기술자의 활동 범위를 넓히고,<br>비전투원의 위험을 줄여야 할 필요성이 생긴 셈이지."""
ssn_015600_0104#0,"""그 활동에 자네의 도움을 받고 싶은데,<br>어떤가? """
ssn_015600_0201#0,"""목표는 스티아 외곽의<br>\""드레드 에너미\""야."""
ssn_015600_0202#0,"""네 힘을 빌려주었으면 좋겠어.<br>잘 부탁해!"""
ssn_015600_0301#0,"""음, 어쩔 수 없지.<br>마음이 바뀌면 다시 말해주게."""
ssn_015600_1001#0,"""네 덕분에<br>활동이 훨씬 수월해졌어."""
ssn_015600_1002#0,"""하지만 이것으로 끝이 아니야."""
ssn_015600_1003#0,"""스티아 외곽부 다음에는 드라이젠 플랜트,<br>더 나아가 메디오라 외곽으로 범위를 넓혀갈 계획이야."""
ssn_015600_1004#0,"""자네에게는 앞으로도<br>임무에 대한 협조를 부탁하고 싶은데."""
ssn_015600_1005#0,"""맡아줄 수 있겠어?"""
ssn_015600_1101#0,"""계속해서 \""드레드 에너미\""를 소탕하는 데<br>도움을 주었으면 한다네."""
ssn_015600_1102#0,"""마음 단단히 먹고 도전해 주게.<br>잘 부탁하네!"""
ssn_015600_1201#0,"""알겠어.<br>시간 날 때 다시 와줘."""
ssn_015600_2001#0,"""기다렸어."""
ssn_015600_2002#0,"""자, 이제 드디어 메디오라에서의 활동을<br>본격적으로 시작하겠다."""
ssn_015600_2003#0,"""지금까지와는 비교할 수 없을 정도로 위험한 임무가 될 거야."""
ssn_015600_2004#0,"""그래도 맡을 수 있겠지?"""
ssn_015600_2101#0,"""메디오라 외곽 제2구에서 '드레드 에너미'를 상대하게 될 거야."""
ssn_015600_2102#0,"""그 어느 때보다 힘든 싸움이 되겠지만,<br>너의 협조가 있다면 반드시 성공할 수 있을 거야."""
ssn_015600_2103#0,"""그럼, 행운을 빈다!"""
ssn_015600_2201#0,"""그렇구나.<br>만반의 태세를 갖추고 나서 말을 걸어줘."""
ssn_015600_2301#0,"""네 실력에 진심으로 놀랐어."""
ssn_015600_2302#0,"""브루더에게도 너의 활약은 전달해 둘게.<br>분명 기뻐할 거야."""
ssn_015600_2303#0,"""우리 제1소대도<br>자네를 본보기로 삼아 정진하도록 하겠네."""
ssn_015600_2304#0,"""앞으로도 잘 부탁한다."""
