name_7258#0,"""아쳬"""
msn_016000_000_0001#0,"""저는 건축물과 구조물을 연구하고 있는 아쳬라고 해!"""
msn_016000_000_0002#0,"""최근엔 류커 디바이스의<br>구조에 대해 조사하고 있는 중이야."""
msn_016000_000_0003#0,"""뭔가 알게되면<br>너한테도 알려줄게~!"""
msn_016000_000_0011#0,"""앗, 너! 마침 잘 왔어!"""
msn_016000_000_0012#0,"""대, 대, 대발견!"""
msn_016000_000_0013#0,"""류커 디바이스에<br>숨겨진 기능이 있었어!"""
msn_016000_000_0014#0,"""평소와 다른 조작을 했더니, 텔레포트 대상 어드레스에<br>정의되지 않은 영역이 발견됐어."""
msn_016000_000_0015#0,"""음, 요컨대<br>아무도 모르는 곳으로 텔레포트 할 수 있을지도 모른다는 얘기."""
msn_016000_000_0016#0,"""자세히 알아보는 중인데,<br>새로운 가능성이 느껴지네."""
msn_016000_000_0017#0,"""좀 더 자세히 알게 되면 다시 알려줄게!"""
msn_016000_000_0021#0,"""아무도 모르는 곳에, 텔레포트 할 수 있을지도.<br>새로운 가능성이 느껴지네."""
msn_016000_000_0022#0,"""좀 더 자세히 알게 되면 다시 알려줄게!"""
