name_7403#0,"""리디아"""
ssn_015190_002_0001#0,"""그럼 \""아크스 카드\""에 대해서 설명드릴게요."""
ssn_015190_002_0002#0,"""아크스 카드는<br>그 분의 프로필을 적은 카드입니다."""
ssn_015190_002_0003#0,"""카드를 보는 것으로 당신이<br>어떤 사람인지를 상대게 전달할 수 있습니다."""
ssn_015190_002_0004#0,"""물론<br>다른 분의 아크스 카드를 보는 것도 가능하답니다."""
ssn_015190_002_0005#0,"""아크스로서 활동 목적이나<br>취미가 맞는 분을 분명 찾으실 수 있을 거예요."""
ssn_015190_002_0006#0,"""새로운 프렌드를 사귀는데<br>도움이 되었다면 좋겠네요."""
ssn_015190_002_0007#0,"""그럼 우선 자신의 아크스 카드를 만들어 보세요."""
ssn_015190_002_0008#0,"""그 후에는 다른 분의 아크스 카드를 살펴보죠."""
ssn_015190_002_0009#0,"""꼭 시험해 보세요."""
ssn_015190_002_0010#0,"""방법을 잘 모르시겠다면<br>다시 한번 제게 말을 걸어주세요."""
