msc_020220_0010#0,"""안녕."""
msc_020220_0020#0,"""이루마!?"""
msc_020220_0030#0,"""얘기는 전해 들었어.<br>왠지 큰 일을 겪고 있는 모양이네."""
msc_020220_0040#0,"""그 아이가,<br>저 \""부유섬\""… 루시엘에서 왔다고?"""
msc_020220_0050#0,"""…파리아입니다."""
msc_020220_0060#0,"""잘 부탁해, 파리아.<br>난 이루마라고 해."""
msc_020220_0070#0,"""그럼 바로,<br>그 루시엘로 가는 방법을 알려주지 않을래."""
msc_020220_0080#0,"""알겠어요."""
msc_020220_0090#0,"""…안 되네요."""
msc_020220_0100#0,"""무슨 일이야?"""
msc_020220_0110#0,"""뭔가 문제라도?"""
msc_020220_0120#0,"""………。"""
msc_020220_0130#0,"""네…."""
msc_020220_0140#0,"""텔레포터를 작동하지 못했습니다.<br>락이 걸린 것 같습니다."""
msc_020220_0150#0,"""그럼 내가 나서야겠네."""
msc_020220_0160#0,"""…설마 그 루시엘이,<br>이 할파의 제어 장치였을 줄이야."""
msc_020220_0170#0,"""게다가 거기서 돌즈와<br>\""별을 건너는 자\""를 보내서 싸우게 하고 있었다."""
msc_020220_0180#0,"""역시, 나도 쉽게 믿기지 않는 이야기야."""
msc_020220_0190#0,"""………。"""
msc_020220_0200#0,"""나도 잠깐 얘기 좀 해도 될까?"""
msc_020220_0210#0,"""네."""
msc_020220_0220#0,"""너, 처음만났을 때 마논과 분위기가 비슷한 것 같네."""
msc_020220_0230#0,"""그런가요."""
msc_020220_0240#0,"""그래 바로 그거, 그 느낌 처럼.<br>너와 마논에 대한 걸 더 들려주지 않을래?"""
msc_020220_0250#0,"""…제가 대답할 수 있는 거라면."""
msc_020220_0260#0,"""응, 그정도라도 괜찮아."""
msc_020220_0270#0,"""너와 마논은 어떤 관계야?"""
msc_020220_0280#0,"""저는 마논의 백업입니다."""
msc_020220_0290#0,"""마논의 활동을 모니터링 하며,<br>문제가 생기면 도움을 주는 겁니다."""
msc_020220_0300#0,"""마논에 대한걸 계속 지켜보고 있었다는 거지?<br>루시엘에서."""
msc_020220_0310#0,"""네."""
msc_020220_0320#0,"""그래서 실제로 \""문제\""가 생겨서…."""
msc_020220_0330#0,"""루시엘에 있어도 해결이 안 되니까,<br>우리를 의지해 이쪽으로 온… 건가."""
msc_020220_0340#0,"""그렇습니다."""
msc_020220_0350#0,"""……그, 그렇구나."""
msc_020220_0360#0,"""…음.<br>그럼, 다음 질문."""
msc_020220_0370#0,"""마논은 할파에서 뭘 하고 있었어?"""
msc_020220_0380#0,"""…제 3차 계획의 기록…."""
msc_020220_0390#0,"""아크스와 다크 펄스의 전투를,<br>가까이서 기록 하는 것이 마논의 역할입니다."""
msc_020220_0400#0,"""전투를… 기록."""
msc_020220_0410#0,"""마논은, 전부 알고 있었어?"""
msc_020220_0420#0,"""마논이, 전투를 주도하고 있었어?"""
msc_020220_0430#0,"""아뇨.<br>사전에 알려진 정보는 제한적이었습니다."""
msc_020220_0440#0,"""아뇨.<br>그녀는 저눝의 추이를 관찰하고 있었을 뿐입니다."""
msc_020220_0450#0,"""그 계확의 주도자가 아니라,<br>어디까지나 관측자… 라는 건가."""
msc_020220_0460#0,"""네."""
msc_020220_0470#0,"""으, 응?"""
msc_020220_0480#0,"""즉, 마논은 우리에 대한 걸,<br>그냥 지켜보는 게 일이었어."""
msc_020220_0490#0,"""일정한 거리를 유지하면서,<br>수많은 \""별을 건너는 자\""의 한 사람으로서."""
msc_020220_0500#0,"""하지만, 적어도 내가 아는 한,<br>마논은 우리가 하는 일에 적극적으로 참여하려고 했어."""
msc_020220_0510#0,"""뭔가, 심경의 변화가 있었다…는 걸까?"""
msc_020220_0520#0,"""마논…."""
msc_020220_0530#0,"""마논은, 어째서 루시엘로 향한거야?"""
msc_020220_0540#0,"""루시엘에는 또 누가 있는거야?"""
msc_020220_0550#0,"""제페토를 막으려고 했습니다."""
msc_020220_0560#0,"""…제페토가 있습니다."""
msc_020220_0570#0,"""제페토?"""
msc_020220_0580#0,"""할파의 실험 관리자.<br>리서전트 아크스의 총독입니다."""
msc_020220_0590#0,"""그 제페토가,<br>\""실험\""이라는 걸 시작한 사람이야?"""
msc_020220_0600#0,"""기록상으로는 그렇게 되어 있습니다."""
msc_020220_0610#0,"""…그렇구나."""
msc_020220_0620#0,"""제페토는 저와 마논을 만들어낸 존재.<br>아버지… 혹은 어머니와 같은 존재기도 합니다."""
msc_020220_0630#0,"""엄마… 아빠…."""
msc_020220_0640#0,"""보통의 가족 관계…와는,<br>조금 다를 것 같네."""
msc_020220_0650#0,"""그 제페토가 루시엘의 모든 권한을 가지고 있다고 가정하면…"""
msc_020220_0660#0,"""설득하거나 무력화시키면,<br>돌즈와의 싸움이 끝… 나는건가."""
msc_020220_0670#0,"""…실험이라는 건,<br>얼마나 오래 전부터 계속되고 있어?"""
msc_020220_0680#0,"""기록상으로는 300년 전으로 되어 있습니다."""
msc_020220_0690#0,"""300년…!?"""
msc_020220_0700#0,"""………。"""
msc_020220_0710#0,"""그럼 정말 셀 수 없을 정도로 많은 아크스가<br>그 \""실험\""의 희생양이 되어 온거구나…."""
msc_020220_0720#0,"""………。"""
msc_020220_0730#0,"""마논이, 제페토와의 싸움을 결심한<br>결정적인 이유는 뭘까?"""
msc_020220_0740#0,"""…모르겠습니다."""
msc_020220_0750#0,"""…아니, 단 하나…."""
msc_020220_0760#0,"""활동 중 모니터링 데이터에<br>강한 분노의 감정이 보였습니다."""
msc_020220_0770#0,"""그건 제페토를 향한?"""
msc_020220_0780#0,"""네."""
msc_020220_0790#0,"""그럼, 메논은 정말로<br>혼자서 모든 것을 끝내려는 생각이려나."""
msc_020220_0800#0,"""그건… 무모한 짓이야…."""
msc_020220_0810#0,"""………。"""
msc_020220_0820#0,"""응?"""
msc_020220_0830#0,"""작동에 성공했습니다."""
msc_020220_0840#0,"""이게 텔레포터?"""
msc_020220_0850#0,"""근데 이건 근거리용…?"""
msc_020220_0860#0,"""보기에는 그렇지만, 출력은 100배 이상입니다."""
msc_020220_0870#0,"""포톤 필드가 안정적이지 않더라도,<br>초장거리 전송이 가능합니다."""
msc_020220_0880#0,"""헤에."""
msc_020220_0890#0,"""그럼 다들 불러서<br>루시엘이란 녀석에 올라가 볼까."""
msc_020220_0900#0,"""잘 들려?"""
msc_020220_0910#0,"""아아, 크로포드.<br>마침 잘 됐어."""
msc_020220_0920#0,"""루시엘로 향할 준비가 됐어…."""
msc_020220_0930#0,"""아니, 루시엘 침입은 일단 중단한다."""
msc_020220_0940#0,"""무슨 일이 생겼어?"""
msc_020220_0950#0,"""돌즈의 총공격이야.<br>상당수의 강하가 할파 전역에서 확인됐어."""
