msc_020080_0010#0,"""これをこうして……。"""
msc_020080_0020#0,"""こっちをこう……。"""
msc_020080_0030#0,"""よしっ……。"""
msc_020080_0040#0,"""準備オッケー！<br>いつでも行けるよ。"""
msc_020080_0050#0,"""これで決める！"""
msc_020080_0060#0,"""セントラルキャノン、撃てーっ！"""
msc_020080_0070#0,"""まだまだ！"""
msc_020080_0080#0,"""逃がさないっ！"""
msc_020080_0090#0,"""最後は、キミに譲るよ……。"""
msc_020080_0100#0,"""散って行った、仲間のぶんまで。"""
msc_020080_0110#0,"""……頼むぞ。"""
msc_020080_0120#0,"""キミにならできる！"""
msc_020080_0130#0,"""お願い！"""
msc_020080_0140#0,"""ハルファに平和を！"""
msc_020080_0150#0,"""よしっ！"""
