name_7245#0,"""셰미"""
name_7224#0,"""시트레"""
ssn_019100_002_0001#0,"""아 안녕하세요… 와 주셔서 감사해요.<br>다시 한번 자기소개를 할게요."""
ssn_019100_002_0002#0,"""제 이름은 셰미.<br>기술 개발부에서 장비 개발을 담당하고 있습니다."""
ssn_019100_002_0003#0,"""그래서 부탁드리고 싶은 건…"""
ssn_019100_002_0004#0,"""저는 지금 무기 출력 향상 실험을 하고 있는데<br>가지고 있는 재료로는 한계가 있어요."""
ssn_019100_002_0005#0,"""최근 \""그리닐사이트\""라는 광석을<br>얻을 수 있다는 얘기를 들어서…"""
ssn_019100_002_0006#0,"""테드라사이트가 변이된듯<br>하다고 하네요."""
ssn_019100_002_0007#0,"""반응제로서… 일반 광석보다<br>좋은 수치가 나올지도 몰라요."""
ssn_019100_002_0008#0,"""그걸 포톤 출력 테스트에<br>써보고 싶어요."""
ssn_019100_002_0009#0,"""저, 저기… 당신께… <br>채취를 부탁드리고 싶은데요…"""
ssn_019100_002_0010#0,"""안 되… 나요?"""
ssn_019100_002_1001#0,"""아 안녕하세요… <br>그리닐사이트를… 받아도 될까요?"""
ssn_019100_002_1101#0,"""가 감사합니다."""
ssn_019100_002_1102#0,"""왠지 이뻐요.<br>좋은 수치가 나올 거 같아요 … 후후, 후후후."""
ssn_019100_002_1103#0,"""그럼, 바로 시험해… 볼게요."""
ssn_019100_002_1104#0,"""대단해요!"""
ssn_019100_002_1105#0,"""들어봐요!<br>굉장한 수치가 나타났어요!"""
ssn_019100_002_1106#0,"""…앗 죄송해요.<br>너무 들떠버렸…네요."""
ssn_019100_002_1107#0,"""저 답지 않게…"""
ssn_019100_002_1108#0,"""그… 기대치의 1.5배 정도의 반응이 있어서<br>새로운 무기 개발이 진척될 것 같아요."""
ssn_019100_002_1109#0,"""이렇게 되면… 욕심이 생기네요."""
ssn_019100_002_1110#0,"""또 한가지 \""아우툼아리스\""라고 하는<br>포톤 결정체 같은게 있는데요…"""
ssn_019100_002_1111#0,"""이건 시즌 에너미에게서<br>샘플을… 채취할 수 있는 것 같습니다."""
ssn_019100_002_1112#0,"""그걸 모아 와주시면<br>엄청… 기쁠 거예요"""
ssn_019100_002_2001#0,"""아우툼아리스를 받아도 될까요?"""
ssn_019100_002_2101#0,"""잘 받았…습니다.<br>감사합니다."""
ssn_019100_002_2102#0,"""그럼 시도해보도록 하겠습니다.<br>정발 받아도… 괜찮은 거죠?"""
ssn_019100_002_2103#0,"""저기… 그…"""
ssn_019100_002_2104#0,"""잘 되지 않았어요…"""
ssn_019100_002_2105#0,"""아니, 큰 반응은 있었는데…<br>출력이 안정되지 않았어요."""
ssn_019100_002_2106#0,"""사실 순도가 더 높은<br>결정체가 있다는 것 같다는데…"""
ssn_019100_002_2107#0,"""연구원은 \""아우툼레이티스\""라고<br>부른다고… 하네요."""
ssn_019100_002_2108#0,"""이것도 시즌 에너미에게서<br>회수할 수 있는 것… 같아요."""
ssn_019100_002_2109#0,"""그런데 잘 찾지 못하셨다고 해요.<br>희귀… 하다고 하네요."""
ssn_019100_002_2110#0,"""그 밖에도 입수 경로가 있는 것 같은데요.<br>자세한 내용은 단말기로 보내드릴게요."""
ssn_019100_002_2111#0,"""저… 저기 가능하시면<br>그걸… 채집해 와주실 수 있으신가요?"""
ssn_019100_002_3001#0,"""… 아우툼레이티스<br>정말로… 받아도 괜찮나요?"""
ssn_019100_002_3101#0,"""괴… 굉장하시네요.<br>정말 채취해 오시다니…"""
ssn_019100_002_3102#0,"""이건 귀중한 데이터를<br>얻을 것 같네요… 후후… 후후후."""
ssn_019100_002_3103#0,"""바로 시도해 볼게요."""
ssn_019100_002_3104#0,"""저 저기…"""
ssn_019100_002_3105#0,"""잘 됐는…데요…"""
ssn_019100_002_3106#0,"""역시 조금 더<br>테스트 해보지 않으면 실용화가 힘들 것 같네요."""
ssn_019100_002_3107#0,"""수치에 뷸균형이… 많아서요."""
ssn_019100_002_3108#0,"""하지만 이건… 한 걸음 나아가는 거예요."""
ssn_019100_002_3109#0,"""저, 정말 감사합니다!<br>이번엔 정말…"""
ssn_019100_002_3110#0,"""… 그래서 만약 괜찮다면<br>안정화된 버전의 무기를 양도해 드릴게요."""
ssn_019100_002_3111#0,"""재료를 또 가져다 주시면<br>그거랑 교환한다는 느낌으로요."""
ssn_019100_002_3112#0,"""그, 그럼 앞으로도 잘 부탁드려요."""
ssn_019100_002_4001#0,"""아 아 잘 들려?<br>너 <%me> 맞지?"""
ssn_019100_002_4002#0,"""갑작스럽게 연락해서 미안해.<br>나는 보급 담당인 시트레야."""
ssn_019100_002_4003#0,"""다름 아니라 실력 있는 아크스가 있다고 들어서 말이야.<br>나도 부탁을 좀 하고 싶어서."""
ssn_019100_002_4004#0,"""<%me>에게<br>에너미 토벌 같은 걸 의뢰하고 싶어."""
ssn_019100_002_4005#0,"""전선에서 싸우고 있는 아크스에겐<br>일과 같은 의뢰라고 생각하는데, 어때?"""
ssn_019100_002_4006#0,"""뭐, 해줄 수 있으면 좋으니까<br>잘 생각해 봐. 그럼 이만!"""
ssn_019100_002_4101#0,"""<%me>, 오랜만이야!<br>군수 담당인 시트레야."""
ssn_019100_002_4102#0,"""<%me>, 의지가 되지?"""
ssn_019100_002_4103#0,"""이번에는 내 부탁을<br>들어줬으면 좋겠어."""
ssn_019100_002_4104#0,"""평소처럼<br>에너미 토벌같은걸 부탁해도 괜찮을까?"""
ssn_019100_002_4105#0,"""임무가 아니니까<br>시간이 널찍할 때 해줘도 돼."""
ssn_019100_002_4106#0,"""그럼 부탁할게!"""
ssn_019100_002_4201#0,"""시트레? 무슨 일이야?"""
ssn_019100_002_4202#0,"""시트레, 여전하네"""
ssn_019100_002_5001#0,"""무기 개발은… 소재가 아무리 있어도 부족합니다.<br>만약… 가지고 계시다면 다른 것으로 교환해 드릴게요."""
ssn_019100_002_6001#0,"""필요한 게 있으신가요?"""
npc_select_0001#0,"""그리닐사이트 1개를 건네주기"""
npc_select_0002#0,"""아우툼아리스 10개를 건네주기"""
npc_select_0003#0,"""아우툼레이티스 2개를 건네주기"""
npc_select_0004#0,"""그만두기"""
npc_select_0005#0,"""아이템 교환하기"""
npc_select_0006#0,"""저기… 조금 부족한 것 같아요…<br>죄송해요…"""
npc_select_0007#0,"""저… 기다리고 있을게요.<br>계속…"""
npc_menu_0001#0,"""시즈널 아이템과 교환하기 ($(0)까지)"""
npc_menu_0002#0,"""시즈널 포인트로 교환하기 ($(0)까지)"""
npc_menu_0003#0,"""시즈널 이벤트의 설명 듣기"""
npc_menu_0004#0,"""메뉴 닫기"""
npc_menu_0005#0,"""\""시즈널 이벤트\""에 관하여"""
npc_menu_0006#0,"""\""시즈널 이벤트 캐릭터\""에 관하여"""
npc_menu_0007#0,"""\""데일리/위클리\""에 관하여"""
npc_menu_0008#0,"""\""미스치프 심볼\""에 관하여"""
npc_menu_0009#0,"""\""시즈널 개더링\""에 관하여"""
npc_menu_0010#0,"""\""시즈널 리전 마그\""에 관하여"""
npc_menu_0011#0,"""\""시즌 에너미\""에 관하여"""
npc_menu_0012#0,"""\""월드 트라이얼\""에 관하여"""
npc_menu_0013#0,"""\""스텔라 기프트 트라이얼\""에 관하여"""
npc_menu_0014#0,"""묻고 싶은 것이 없다"""
