ssc_501110_0010#0,"""ふう……。<br>暑いねぇ。"""
ssc_501110_0020#0,"""リテムのさらさらした空気と違って、<br>なんだかべたべたした感じ……。"""
ssc_501110_0030#0,"""<%me>は、平気そうにしてるけど、<br>本当はどうなのかな？"""
ssc_501110_0040#0,"""平気。"""
ssc_501110_0050#0,"""実は暑い。"""
ssc_501110_0060#0,"""そうなんだ。"""
ssc_501110_0070#0,"""やっぱり、“星渡り”って、<br>暑さとか寒さに強いのかな。"""
ssc_501110_0080#0,"""え？\u3000そうなの？"""
ssc_501110_0090#0,"""リテムやクヴァリスでは、<br>ぜんぜん平気そうだったのに。"""
ssc_501110_0100#0,"""でも、あたしたちは、<br>いろんなところに行けるから、いいんだけどさ……。"""
ssc_501110_0110#0,"""グレンたちは、<br>ずっとここで寝起きしてるんだよね。"""
ssc_501110_0120#0,"""スティアは、ドールズとの戦いも大変だけど、<br>一番の敵はこの暑さかもしれない。"""
ssc_501110_0130#0,"""戦いに疲れてキャンプに帰っても、<br>これじゃ、ゆっくり休めないんじゃないかなぁ。"""
ssc_501110_0140#0,"""朝も夜もないくらいに、<br>戦いっぱなしなんだから……。"""
ssc_501110_0150#0,"""せめて、キャンプのなかでくらいは、<br>快適に過ごしてほしいよね。"""
ssc_501110_0160#0,"""余計なお世話……かもしれないけど。"""
ssc_501110_0170#0,"""なにか、<br>あたしたちにできることはないかな……？"""
ssc_501110_0180#0,"""なにか、贈り物とか。"""
ssc_501110_0190#0,"""気分転換になることを。"""
ssc_501110_0200#0,"""贈り物……？<br>うーん、なんだろう。"""
ssc_501110_0210#0,"""あっ、そういえば！"""
ssc_501110_0220#0,"""中枢部を目指しているときに、<br>ご飯を作ってあげたことがあったね。"""
ssc_501110_0230#0,"""気分転換……。<br>うーん、なんだろう。"""
ssc_501110_0240#0,"""あっ、前みたいに料理とかだったら、<br>喜んでくれるかな？"""
ssc_501110_0250#0,"""みんな、いつも硬いパンみたいなのを食べてるけど、<br>本当は、おいしいものを食べたいはずだよね。"""
ssc_501110_0260#0,"""うん、いいかも！"""
ssc_501110_0270#0,"""アドバイス、ありがとう！"""
ssc_501110_0280#0,"""だったら、まずは食材を用意しないと。"""
ssc_501110_0290#0,"""そうだなぁ……。"""
ssc_501110_0300#0,"""あのときは、みんな体も心も疲れてそうだったから、<br>温かいものにしたけど……。"""
ssc_501110_0310#0,"""今度は、リフレッシュしてもらうために、<br>冷たいものにしようかな。"""
ssc_501110_0320#0,"""クヴァリスの野菜や果物だったら、<br>いい感じに作れそう。"""
ssc_501110_0330#0,"""うんうん、アイディアが浮かんできた！"""
ssc_501110_0340#0,"""さっそく、探しに行ってみるよ。"""
