name_7662#0,"""단트레이"""
ssn_005110_0001#0,"""新顔だな!<br>そうか、아크스としての心得を学んでいるか."""
ssn_005110_0002#0,"""좀 더 실력을 갈고닦은 후에 여기로 와주면 좋겠어!"""
ssn_005110_0101#0,"""よく来たな!<br>オレは打撃クラスの訓練教官、단트레이だ!"""
ssn_005110_0102#0,"""구이덴から話は聞いている.<br>ハンターについて学んでみるか?"""
ssn_005110_0151#0,"""と思ったが、クラスがハンターではないようだな."""
ssn_005110_0152#0,"""訓練したいのであれば\""クラスカウンター\""で<br>クラスをハンターにしてきてくれ."""
ssn_005110_0153#0,"""それと、ハンターのクラススキル<br>\""マッシブハンター\""を習得するのを忘れないようにな!"""
ssn_005110_0103#0,"""헌터는 근거리 전투에 능한 클래스야!"""
ssn_005110_0104#0,"""敵の攻撃をガードし、ステップで回避し…強烈なカウンターを叩き込む!<br>それが基本的な戦い方だ."""
ssn_005110_0105#0,"""クラススキルを活用すれば、エネミーとの接近戦にも臆することなく、<br>カウンター攻撃を狙えるようになるだろう."""
ssn_005110_0106#0,"""最初は…そうだな、\""マッシブハンター\""がオススメだ!"""
ssn_005110_0107#0,"""上手く使いこなして、에너미를 쓰러뜨리기んだ!"""
ssn_005110_0108#0,"""뭐, 배운다기 보단 더욱 익숙해지는 거야!<br> 과제를 내줄테니 한번 해 봐!"""
ssn_005110_0301#0,"""そうか….<br>ハンターとして一人前になりたければ、また来るんだぞ!"""
ssn_005110_0201#0,"""어때, 조금은 늘었어?"""
ssn_005110_0202#0,"""훈련 해봤으니 알겠지만<br>역시 클래스 스킬은 중요해."""
ssn_005110_0203#0,"""스킬을 익히는 것 만으론 썩히는 셈이야.<br>능숙하게 사용할 수 있도록 해!"""
