msc_020280_0010#0,"""…사람!?"""
msc_020280_0020#0,"""어?"""
msc_020280_0030#0,"""아… 응."""
msc_020280_0040#0,"""저기 여기는…?"""
msc_020280_0060#0,"""………。"""
msc_020280_0070#0,"""저 저기…."""
msc_020280_0080#0,"""혹시 마논을 알아?"""
msc_020280_0090#0,"""마논은 여기에 왔어?"""
msc_020280_0100#0,"""마논…?"""
msc_020280_0110#0,"""마논에 대해서 알고 있어?"""
msc_020280_0120#0,"""모르겠어요. 여기엔 없어요."""
msc_020280_0130#0,"""음, 제페토는… 어디에 있어?"""
msc_020280_0140#0,"""제페토…."""
msc_020280_0150#0,"""총독은 이 앞의 관제탑에 있습니다."""
msc_020280_0160#0,"""관제탑…?"""
msc_020280_0170#0,"""좀 더 물어봐도 괜찮아?"""
msc_020280_0180#0,"""………。"""
msc_020280_0190#0,"""더 물어보고 싶은게 맣은데,<br>안될 것 같아."""
msc_020280_0200#0,"""제페토는 이 앞에 있다고 했지."""
