ssc_510030_0010#0,"""……<%me>か。"""
ssc_510030_0020#0,"""こんなところまで、ひとりで来たのか？"""
ssc_510030_0030#0,"""それはグレンも同じ。"""
ssc_510030_0040#0,"""たいした敵はいないから。"""
ssc_510030_0050#0,"""俺はいいんだ。"""
ssc_510030_0060#0,"""このあたりのことは知り尽くしている。"""
ssc_510030_0070#0,"""ふん、言うじゃないか。"""
ssc_510030_0080#0,"""だが……。"""
ssc_510030_0090#0,"""ここにいると、思い出すな。<br>あの日の戦いのことを。"""
ssc_510030_0100#0,"""クロフォードも、<br>なにをしに来たのか……。"""
ssc_510030_0110#0,"""いきなり現れて、<br>好き勝手暴れていった。"""
ssc_510030_0120#0,"""戦いに決着をつけるため。"""
ssc_510030_0130#0,"""一緒に戦いたかった。"""
ssc_510030_0140#0,"""やつの戦いを、か。"""
ssc_510030_0150#0,"""……いや、俺たちの戦い……か。"""
ssc_510030_0160#0,"""誰と？"""
ssc_510030_0170#0,"""……俺とってことか。"""
ssc_510030_0180#0,"""……。"""
ssc_510030_0190#0,"""お前といると、<br>なんだか調子が狂うな。"""
ssc_510030_0200#0,"""不思議なやつだ。"""
ssc_510030_0210#0,"""まあいい。<br>少し昔話をしてやる。つきあえ。"""
ssc_510030_0220#0,"""……俺とクロフォードは、<br>もともとは一緒に戦っていた。"""
ssc_510030_0230#0,"""だが、あるきっかけで、<br>たもとを分かつことになった。"""
ssc_510030_0240#0,"""お前は、カヌイから聞いていたな。"""
ssc_510030_0250#0,"""ヒバナ……。"""
ssc_510030_0260#0,"""もともとは三人だった。"""
ssc_510030_0270#0,"""ああ、そうだ。"""
ssc_510030_0280#0,"""ああ……。"""
ssc_510030_0290#0,"""ヒバナの死をきっかけに、<br>俺たちは別の道を歩み始めた。"""
ssc_510030_0300#0,"""クロフォードはセントラルに残り、<br>俺はここで戦うことを選んだ。"""
ssc_510030_0310#0,"""二方面に戦力を分散しては、<br>立ち行かなくなると知りつつ……。"""
ssc_510030_0320#0,"""お互いを止めることはできなかった。"""
ssc_510030_0330#0,"""守っているだけでは、<br>いつまでも敵の根拠は叩けない。"""
ssc_510030_0340#0,"""敵の根拠を叩いても<br>帰る場所を失っては意味がない。"""
ssc_510030_0350#0,"""その板挟みのなかで、<br>俺たちはやっていくしかなかった。"""
ssc_510030_0360#0,"""戦える人員、武器、そのほかの補給物資。"""
ssc_510030_0370#0,"""それらが、<br>じりじりと減っていく現実……。"""
ssc_510030_0380#0,"""あのとき、あのタイミングで、<br>お前たちが来ていなかったら、どうなっていただろうな。"""
ssc_510030_0390#0,"""………。"""
ssc_510030_0400#0,"""まあ、クロフォードとは、<br>いずれゆっくり話す機会もあるだろう。"""
ssc_510030_0410#0,"""だが、今ではない。"""
ssc_510030_0420#0,"""お互いの戦いが、<br>まだ完全には終わっていないからな。"""
ssc_510030_0430#0,"""ふぅ。<br>……話が長くなった。"""
ssc_510030_0440#0,"""俺は、そろそろ行くぞ。"""
