name_7663#0,"""샤르키"""
ssn_005130_0001#0,"""…新人か.<br>まだ基礎を学んでいるようだな."""
ssn_005130_0002#0,"""…もう少し腕を磨いたら, また来るといい."""
ssn_005130_0101#0,"""…待っていた.<br>私はレンジャー教導官, 샤르키."""
ssn_005130_0102#0,"""…구이덴から, あらましは聞いた.<br>レンジャーについて学びたいか?"""
ssn_005130_0301#0,"""…そうか.<br>気が変わったら, また声をかけてくれ."""
ssn_005130_0151#0,"""…レンジャーではないな."""
ssn_005130_0152#0,"""…訓練したければ\""クラスカウンター\""で<br>クラスをレンジャーにしてきてほしい."""
ssn_005130_0153#0,"""…レンジャーのクラススキル習得も忘れないようにしておいて."""
ssn_005130_0103#0,"""…レンジャーは遠距離からの射撃に長けたクラス."""
ssn_005130_0104#0,"""…エネミーと距離を取れるぶん, 安全に戦える."""
ssn_005130_0105#0,"""…そして, すすめておきたいクラススキルがある.<br>それが…\""ウィークバレット\""."""
ssn_005130_0106#0,"""…手強い敵と戦うとき, 有効的だろう."""
ssn_005130_0107#0,"""…まずは, 実戦で試すといい. 訓練の課題を出そう."""
ssn_005130_0201#0,"""…어땠어?<br>그 모습을 보니 반응이 있었던 모양이네."""
ssn_005130_0202#0,"""…전투의 핵심은 역시 클래스 스킬.<br>스킬로 싸움의 폭은 넓어져."""
ssn_005130_0203#0,"""…경험을 쌓는 게 좋아.<br>기대하고 있을게."""
