ssc_509040_0010#0,"""あら？\u3000あなた。"""
ssc_509040_0020#0,"""聞いたわよ。<br>スティアに行っていたんですってね。"""
ssc_509040_0030#0,"""すごく大変なところなんでしょ？"""
ssc_509040_0040#0,"""ドールズの大群がいて、<br>昼も夜もなく、戦いが続くんだって。"""
ssc_509040_0050#0,"""見たところ、あなたは無事そうだけど、<br>ほかのふたりは……？"""
ssc_509040_0060#0,"""問題ない。"""
ssc_509040_0070#0,"""だいぶお疲れ。"""
ssc_509040_0080#0,"""そうなの？<br>よかったぁ……。"""
ssc_509040_0090#0,"""ええ!?<br>大丈夫なの？"""
ssc_509040_0100#0,"""そ、それならいいんだけど……。"""
ssc_509040_0110#0,"""最近、連絡もなくて、<br>心配していたのよ。"""
ssc_509040_0120#0,"""でも、元気そうな顔を見てほっとしたわ。"""
ssc_509040_0130#0,"""なにか困ったことがあったら、<br>すぐに相談してよね。"""
ssc_509040_0140#0,"""前にも言ったでしょ。<br>全力でサポートするって。"""
ssc_509040_0150#0,"""頼りにしてる。"""
ssc_509040_0160#0,"""ふたりにも伝えておく。"""
ssc_509040_0170#0,"""ええ、すぐに駆けつけるわ。"""
ssc_509040_0180#0,"""兄妹全員は……、<br>揃わないときも、あるかもしれないけど。"""
ssc_509040_0190#0,"""ええ。お願い。"""
ssc_509040_0200#0,"""久しぶりに、<br>ふたりとも話がしたいわ。"""
ssc_509040_0210#0,"""……ああ、そうそう。<br>こっちの近況も少し話しておくわね。"""
ssc_509040_0220#0,"""イルマの話だと、ロストセントラルの調査が、<br>だいぶ進んでいるみたい。"""
ssc_509040_0230#0,"""エアリオのアークスたちも、<br>積極的に手伝ってくれてるわ。"""
ssc_509040_0240#0,"""それと、最近はリテムからも、<br>アークスが来ているようね。"""
ssc_509040_0250#0,"""戦いのためだけじゃなくて、<br>調査、研究にも参加してるって。"""
ssc_509040_0260#0,"""リテムのアークスは、力がすべてだって<br>おじいちゃんから聞いてたけど……。"""
ssc_509040_0270#0,"""昔とは、だいぶようすが違うみたいね。"""
ssc_509040_0280#0,"""現地で集めたデータは、<br>イルマがおじいちゃんの部屋で整理してる。"""
ssc_509040_0290#0,"""今は、遺された資料の<br>事実確認をしてるって言ってたわ。"""
ssc_509040_0300#0,"""でも……、あのとき以来、<br>おじいちゃんからのメッセージはないのよね。"""
ssc_509040_0310#0,"""ロストセントラルなら、もっといろいろな<br>手がかりが見つかるかもって思ってたのに……。"""
ssc_509040_0320#0,"""きっと、いつか見つかる。"""
ssc_509040_0330#0,"""まだ、探してない場所があるかも？"""
ssc_509040_0340#0,"""そうね。<br>希望を捨てずに頑張るわ。"""
ssc_509040_0350#0,"""そうね。<br>雪の下は、ほとんど手つかずだし。"""
ssc_509040_0360#0,"""焦らずに、<br>着実に進めていくつもり。"""
ssc_509040_0370#0,"""クヴァリスの再興も、<br>おじいちゃんの手がかり探しも。"""
ssc_509040_0380#0,"""進展があったら、連絡するわ。"""
ssc_509040_0390#0,"""もしかしたら、<br>なにか手伝ってもらうこともあるかも。"""
ssc_509040_0400#0,"""そのときは、<br>持ちつ持たれつっていうことで。"""
ssc_509040_0410#0,"""よろしくね！"""
