msc_020120_0010#0,"""…ごめんなさい…."""
msc_020120_0020#0,"""ねえ!聞いて!<br>大変…大変なの…!"""
msc_020120_0030#0,"""どうしたの?"""
msc_020120_0040#0,"""落ち着いて."""
msc_020120_0050#0,"""その…えーと."""
msc_020120_0060#0,"""あ, うん.<br>ごめんなさい."""
msc_020120_0070#0,"""あのね.<br>마논が…, 居なくなったみたいなの."""
msc_020120_0080#0,"""마논, ずっと様子が変だったでしょ."""
msc_020120_0090#0,"""なんか, 悩んでるみたいで."""
msc_020120_0100#0,"""こっちが聞いても,<br>「大丈夫」としか言ってくれなくてさ."""
msc_020120_0110#0,"""もしかしたら, 마논も에아리오タウンのことを<br>ずっと気にしてて…."""
msc_020120_0120#0,"""だから, ダークファルスを倒せば,<br>心のもやもやが晴れるんじゃないかって."""
msc_020120_0130#0,"""…でも, ダークファルスを倒しても,<br>마논は前と同じ顔をしてた."""
msc_020120_0140#0,"""それで, 今日, ちゃんと話さなきゃと思って,<br>마논の部屋に行ったの."""
msc_020120_0150#0,"""そしたら, 鍵が開いてて,<br>마논はいなくて…."""
msc_020120_0160#0,"""机もベッドも, 誰もいなかったみたいに,<br>きれいに片付けられてて…."""
msc_020120_0170#0,"""…この, メッセージが残されてたの."""
msc_020120_0180#0,"""「ごめんなさい.今まで고마워」."""
msc_020120_0190#0,"""…これって, どういう意味?"""
msc_020120_0200#0,"""何回連絡しても, 出てくれないし."""
msc_020120_0210#0,"""なんか…, これからずっと,<br>마논に会えなくなるみたいな…."""
msc_020120_0220#0,"""嫌な予感がする…."""
msc_020120_0230#0,"""きっと, すぐに会える."""
msc_020120_0240#0,"""아이나…."""
msc_020120_0250#0,"""う, うん….<br>そう…だよね."""
msc_020120_0260#0,"""うん…."""
msc_020120_0270#0,"""あたし, 探しに行く."""
msc_020120_0280#0,"""まずは, 에아리오中を探してみて."""
msc_020120_0290#0,"""見つからなかったら,<br>리템, 크바리스…."""
msc_020120_0300#0,"""まずは, 目撃者を探そう."""
msc_020120_0310#0,"""誰かに相談したほうがいい."""
msc_020120_0320#0,"""目撃者…町の人に?"""
msc_020120_0330#0,"""誰かって…誰?"""
msc_020120_0340#0,"""あ, そうか.<br>クロフォード!"""
msc_020120_0350#0,"""指令室に行けば,<br>なにかわかるかも!"""
