name_7443#0,"""마리모"""
ssn_015620_0001#0,"""조사할 때도, 싸울 때도<br>만반의 준비를 해두세요."""
ssn_015620_0002#0,"""무사히 돌아오는 것.<br>그게 가장 중요한 것입니다."""
ssn_015620_0101#0,"""실례합니다, 잠시 괜찮을까요~."""
ssn_015620_0102#0,"""당신에게 다시 한 번 조사를<br>도와주실 수 있는지 여쭤보고 싶어서요."""
ssn_015620_0103#0,"""그런데…… 조금 어려운 곳이라서 어떻게 해야 할지 고민하고 있거든요~."""
ssn_015620_0104#0,"""일단 이야기만이라도<br>들어 주시면 감사하겠습니다."""
ssn_015620_0201#0,"""조사해 주셨으면 하는 곳은<br>메디오라 외곽 제1구 안쪽이에요."""
ssn_015620_0202#0,"""강력한 적들이 많이 있는<br>아주 위험한 곳이에요."""
ssn_015620_0203#0,"""위험을 무릅쓰고<br>가서 조사해 주실 수 있으신가요?"""
ssn_015620_0301#0,"""그렇군요 …….<br>그럼 어쩔 수 없네요."""
ssn_015620_0401#0,"""이 세상에는<br>아직 보지 못한 풍경이 많이 있겠죠."""
ssn_015620_0402#0,"""당신도 새로운 풍경을<br>보게 된다면 꼭 저에게 알려주세요."""
ssn_015620_0403#0,"""기대하고 있겠습니다~."""
