msc_020130_0010#0,"""…じゃあ,<br>こっちのデータの復号を優先してくれ."""
msc_020130_0020#0,"""わかりました.<br>手分けしてあたります."""
msc_020130_0030#0,"""やあ, キミたちか."""
msc_020130_0040#0,"""どうしたんだい?"""
msc_020130_0050#0,"""クロフォード!<br>마논が…!"""
msc_020130_0060#0,"""ふーむ…."""
msc_020130_0070#0,"""…ふたりとも, これを저길 봐ほしい."""
msc_020130_0080#0,"""ハルファの上空に浮かんでいる, 巨大な構造物."""
msc_020130_0090#0,"""僕たちは, \""浮島\""と呼んでいるが…."""
msc_020130_0100#0,"""え, えーと…なんの話?"""
msc_020130_0110#0,"""\""루시엘\""."""
msc_020130_0120#0,"""…というのが, 正式な名前らしい."""
msc_020130_0130#0,"""このデータは,<br>さきほど마논君から送られてきたものだ."""
msc_020130_0140#0,"""마논が, これを?"""
msc_020130_0150#0,"""これが, 本当に마논から?"""
msc_020130_0160#0,"""…ああ."""
msc_020130_0170#0,"""断定はできないが,<br>少なくとも送信元のアドレスは마논君のものだ."""
msc_020130_0180#0,"""ちょっと待って."""
msc_020130_0190#0,"""마논とその\""루시엘\""に,<br>なんの関係があるの?"""
msc_020130_0200#0,"""端的に言うと, 마논君は…."""
msc_020130_0210#0,"""この世界の秘密を…知る者だ."""
msc_020130_0220#0,"""…え?"""
msc_020130_0230#0,"""データは, まだ解析を始めたばかりだけど…."""
msc_020130_0240#0,"""最初の部分だけでも,<br>僕たちが知りえない多くの情報が含まれていた."""
msc_020130_0250#0,"""ライサスのレポートを, はるかに超える情報量だ."""
msc_020130_0260#0,"""なぜ마논君が,<br>こんなものを持っていたのかはわからない."""
msc_020130_0270#0,"""なぜ, 今送ってきたのかも."""
msc_020130_0280#0,"""あ, あたし, なにがなんだか…."""
msc_020130_0290#0,"""じゃあ, 마논が向かったのは…?"""
msc_020130_0300#0,"""마논は루시엘に…?"""
msc_020130_0310#0,"""…その루시엘の可能性が高い."""
msc_020130_0320#0,"""状況的に, そこに向かった可能性が高いね."""
msc_020130_0330#0,"""だけど, それを確かめようにも,<br>僕たちにはあの場所に行く術がない."""
msc_020130_0340#0,"""対策を練るにしても,<br>かなりの時間がかかるだろう."""
msc_020130_0350#0,"""ふぅ…."""
msc_020130_0360#0,"""突然のことで,<br>さすがに僕も少し混乱しているようだ."""
msc_020130_0370#0,"""…마논が,<br>ずっとなにか悩んでいるのはわかっていた…."""
msc_020130_0380#0,"""けど…, こんなことになるなんて…."""
msc_020130_0390#0,"""……."""
msc_020130_0400#0,"""…そうだね.<br>僕も, もっと彼女のことをよく저길 봐いたら…."""
msc_020130_0410#0,"""まずは, データの解析を急ぐよ."""
msc_020130_0420#0,"""彼女が, 特別な装置を使わずに,<br>루시엘に行ったのなら…."""
msc_020130_0430#0,"""緊急警報!ドールズの反応!多数!"""
msc_020130_0440#0,"""なんだって!?場所は!?"""
msc_020130_0450#0,"""리템リージョン!<br>…리템シティの至近です!"""
msc_020130_0460#0,"""クロフォード聞こえるか?<br>리템シティの近くにドールズの大群だ."""
msc_020130_0470#0,"""ああ, こちらでも捕捉している.<br>援護が必要そうかい?"""
msc_020130_0480#0,"""無用だ.…と言いたいところだが,<br>レヌス・리템の総攻撃のときよりも数が多い."""
msc_020130_0490#0,"""わかった.すぐに援軍を向かわせる."""
msc_020130_0500#0,"""ありがたい.<br>…それと…."""
msc_020130_0510#0,"""なんだい?"""
msc_020130_0520#0,"""ドールズの中心に,<br>\""星渡り\""のポッドが落ちたようだ."""
msc_020130_0530#0,"""救出を優先する.<br>用兵は, 臨機応変に行う."""
msc_020130_0540#0,"""わかった.<br>そちらと呼吸をあわせられる者を向かわせる."""
msc_020130_0550#0,"""すまない."""
msc_020130_0560#0,"""\""星渡り\""のポッド!?<br>もしかして, 마논となにか関係あるかも."""
msc_020130_0570#0,"""行こう, 아이나!"""
msc_020130_0580#0,"""どうする?아이나."""
msc_020130_0590#0,"""うん!"""
msc_020130_0600#0,"""行こう!"""
msc_020130_0605#0,"""待ちたまえ!キミたちはここに残るんだ."""
msc_020130_0610#0,"""待ってなんかいられないよ!"""
msc_020130_0620#0,"""違っててもいい!<br>少しでも, 前に進みたいの!"""
msc_020130_0630#0,"""わ, わかった."""
msc_020130_0640#0,"""だが, くれぐれも無茶はしないでくれ."""
msc_020130_0650#0,"""了解!"""
