ssc_506030_0010#0,"""너구나…."""
ssc_506030_0020#0,"""……."""
ssc_506030_0030#0,"""괜찮다면,<br>거기서 잠깐 이야기를 들어줘."""
ssc_506030_0040#0,"""…긴 싸움이었어."""
ssc_506030_0050#0,"""아직 모든 것이 끝난 것은 아니지만,<br>하나의 마침표를 찍을 수 있었어."""
ssc_506030_0060#0,"""끝나지 않는 \""레누스 리템\""과의 싸움."""
ssc_506030_0070#0,"""그로 인해 이토록 많은<br>희생을 겪어야 했어."""
ssc_506030_0080#0,"""만약 너희들의 도움 없이<br>우리끼리만 계속 싸웠다면…."""
ssc_506030_0090#0,"""아마, 마지막에는 패배했을 거야."""
ssc_506030_0100#0,"""…리템의 주민들은 오랫동안<br>자신들의 힘으로만 일을 해결해 왔어."""
ssc_506030_0110#0,"""외부의 도움을 받지 않고<br>완전히 독립적인 조직을 이루고."""
ssc_506030_0120#0,"""그것이 최선이라고 여겨졌던 거야."""
ssc_506030_0130#0,"""모래로 뒤덮인 대지."""
ssc_506030_0140#0,"""주변을 둘러싸고 있는 산들."""
ssc_506030_0150#0,"""고립된 세계 속에서<br>시야도 좁아졌을 터."""
ssc_506030_0160#0,"""너희들이 이 땅을 방문했을 때,<br>많은 이들이 회의적인 시선을 보내고 있었어."""
ssc_506030_0170#0,"""에아리오와의 공투 따윈 불명예스럽다는 목소리도 있었지."""
ssc_506030_0180#0,"""내가 처음에 너희들을 거부한 것도<br>그런 주민들의 의견도 있었기 때문이었어."""
ssc_506030_0190#0,"""…지금 생각해보면,<br>쓸데없는 자존심이었어."""
ssc_506030_0200#0,"""그걸 일깨워 준 것도<br>너희들이었어."""
ssc_506030_0210#0,"""낯선 땅에서 스스로<br>주도적으로 행동하고, 성과를 냈다."""
ssc_506030_0220#0,"""그 모습에 쟈릴과 모프센도<br>마음을 열었어."""
ssc_506030_0230#0,"""그리고 나 스스로도."""
ssc_506030_0240#0,"""다시 한 번 감사하다는<br>말을 전하고 싶어."""
ssc_506030_0250#0,"""리템의 위기를 구해줘서<br>정말 고마워."""
ssc_506030_0260#0,"""모두가 노력했어."""
ssc_506030_0270#0,"""마논의 깨달음이 있었기에."""
ssc_506030_0280#0,"""아, 확실히 그러네."""
ssc_506030_0290#0,"""확실히 ….<br>자신의 힘을 잘못 알고 있었다니, 원통하기 짝이 없네."""
ssc_506030_0300#0,"""…나는 여기에 서 있을 때<br>항상 부끄러움을 느끼고 있었어."""
ssc_506030_0310#0,"""그건 지금도 변함없어…."""
ssc_506030_0320#0,"""하지만.<br>이제는 그들에게 싸움의 전말을 전할 수 있게 되었어."""
ssc_506030_0330#0,"""선조들의 분투가 있었기에<br>지금의 우리가 있다."""
ssc_506030_0340#0,"""그리고 결국에는 승리를 거두었다."""
ssc_506030_0350#0,"""그 죽음은<br>결코 헛된 것이 아니었다고."""
ssc_506030_0360#0,"""그리고 내가 바치는 노래에<br>담아내는 마음도 변해가고 있어.…."""
ssc_506030_0370#0,"""…그러고 보니,<br>계속 궁금했었는데…."""
ssc_506030_0380#0,"""마논은 어째서<br>\""애도의 노래\""를 알고 있었을까."""
ssc_506030_0390#0,"""…모르겠어."""
ssc_506030_0400#0,"""다양하게 조사하고, 연구하고 있어."""
ssc_506030_0410#0,"""그렇구나…."""
ssc_506030_0420#0,"""본인에게 물어보고 싶지만,<br>아무래도 특별한 노래야."""
ssc_506030_0430#0,"""뭔가 사정이 있을지도 모르겠어."""
ssc_506030_0440#0,"""대대로 우리 가문에<br>전해 내려온 노래지만 …."""
ssc_506030_0450#0,"""널리 민중에게 알려진 노래이기도 해."""
ssc_506030_0460#0,"""이전에 어디선가 들어본 적이 있다면<br>이상하진 않겠지."""
ssc_506030_0470#0,"""…아무튼, 이야기가 길어졌네.<br>이야기는 이쯤에서 마무리 짓도록 하자."""
ssc_506030_0480#0,"""혹시 괜찮다면 함께<br>그들의 명복을 빌어주길 바래."""
