msc_020250_0010#0,"""저건… 돌즈?"""
msc_020250_0020#0,"""할파의 지하에 있던 녀석이야."""
msc_020250_0030#0,"""그치만, 이렇게나 많이…."""
msc_020250_0040#0,"""여기가 돌즈의 제조시설… 인가보네."""
msc_020250_0050#0,"""마논! 있으면 대답해줘!"""
msc_020250_0060#0,"""잘 와줬다. 909…."""
msc_020250_0070#0,"""네가 제페토!?"""
msc_020250_0080#0,"""네가 아이나인가…."""
msc_020250_0090#0,"""제 3세대인 909뿐만이 아니라,<br>제 2세대가 이렇게까지 성장할 줄이야…."""
msc_020250_0100#0,"""마논은 어딨어!?"""
msc_020250_0110#0,"""마논!"""
msc_020250_0120#0,"""여기까지 와라. 기다리고 있겠다…."""
msc_020250_0130#0,"""마논을 어쩌려는 거야!? 제페토!"""
msc_020250_0140#0,"""어떡하지… 마논이.<br>저 장소는 어디야…?"""
msc_020250_0150#0,"""모르겠어."""
msc_020250_0160#0,"""어쨌든 앞으로 가보자."""
msc_020250_0170#0,"""미안, 그렇겠지."""
msc_020250_0180#0,"""아무튼 앞으로 나아갈 수밖에 없어."""
msc_020250_0190#0,"""그렇네…."""
name01#0,"""？？？"""
