name010#0,"""Фаин"""
text010#0,"""...А вот и враг подошёл. Прямо вовремя!<br>Давай попробуем на практике!"""
Text_PA#0,"""Фотон Арт(РА): """
Text_TEC#0,"""Техника: """
Button_PATEC#0,"""<%PhotonArts>"""
Text_chargePA#0,"""Заряд PA: """
Text_chargeTEC#0,"""Зарядка техники: """
Text_chargePA2#0,"""Переключение атаки во время PA: """
Button_charge#0,"""Нажать и зажать <%PhotonArts><pict 4space>"""
Button_charge2#0,"""Во время Фотон Арта"""
Button_charge2_2#0,"""В определённый момент <pict 4space><%NormalAttack><pict 4space> или <pict 4space><%PhotonArts>"""
