name_7008#0,"""Росса"""
msn_011065_002_0010#0,"""Отлично, просто замечательно.<br>Похоже, что оружие стало мощнее."""
msn_011065_002_0020#0,"""Пока что это ваше оружие. Пожалуйста,<br>старайтесь дорожить им."""
msn_011065_002_0025#0,"""Его может быть трудно достать, так что,<br>если найдёте такое, постарайтесь сохранить."""
msn_011065_002_0030#0,"""Кроме того, вы аналогично можете заточить и броню.<br>Попробуйте и посмотрите сами."""
msn_011065_002_0040#0,"""Пока что это ваше оружие. Пожалуйста,<br>старайтесь дорожить им."""
msn_011065_002_0050#0,"""А, кстати, ОСОБОЕ ОРУЖИЕ, которое недавно оценили.<br>Воспользуйтесь им. Думаю, оно будет полезно."""
msn_011065_002_0060#0,"""И ещё,.. N-Gribder'ы можно будет найти в контейнерах по всему миру."""
msn_011065_002_0070#0,"""На данный момент неизвестно кто их оставляет,<br>но пожалуйста, не забывайте о них."""
msn_011065_002_0080#0,"""Даже если я так много говорю,<br>вы не сможете запомнить всё... это!"""
msn_011065_002_0090#0,"""Ну, чем больше вы будете продолжать в том же духе,<br>тем проще вам будет привыкнуть."""
msn_011065_002_0100#0,"""Если у вас появятся вопросы в будущем,<br>постарайтесь вспомнить что я сказала."""
msn_011065_002_0110#0,"""На этом, мои объяснения окончены!<br>Полагаюсь на вас!"""
msn_011065_002_0120#0,"""...Что?"""
msn_011065_002_0130#0,"""...Похоже, что с вами хочет пообщаться Крофорд.<br>Не могли бы вы пройти в командную комнату?<br>Он вас ждёт."""
