name_7004#0,"""Крофорд"""
msn_011062_0010#0,"""О-о. Спасибо, что пришли."""
msn_011062_0020#0,"""Надеюсь, что вы продолжите осваиваться здесь."""
msn_011062_0030#0,"""Вы новичок на Хальфе. Ещё многого не знаете."""
msn_011062_0040#0,"""Я попросил операторов, чтобы они помогли вам.<br>Поговорите с ними, чтобы узнать больше."""
msn_011062_0050#0,"""И правда. Для начала, не могли бы вы поговорить с Лю Лин?"""
msn_011062_0101#0,"""Благодарю за то, что присоеденились к нам в бою."""
msn_011062_0102#0,"""Нас ждёт тяжёлая битва, но я хочу, чтобы<br>вы приложили все усилия. Надеюсь на вас."""
msn_011062_0201#0,"""Если вдруг у вас возникнут какие-то проблемы,<br>не стесняйтесь обращаться ко мне."""
msn_011062_0202#0,"""Операторы обязательно помогут вам консультацией."""
msn_011062_0301#0,"""Спасибо вам за то, что приняли участие в опасной миссии."""
msn_011062_0302#0,"""Как я уже говорил ранее, Некс Эарио - сильный враг.<br>Пожалуйста, будьте осторожны."""
msn_011062_0303#0,"""И присмотрите за Бурударом."""
msn_011062_0401#0,"""Инструктор будет ждать вас в идеальном месте для<br>тренировок - “Коконе”. За подробностями обращайтесь к нему."""
msn_011062_0402#0,"""Я хочу, чтобы вы хорошенько подготовились перед отправкой.<br>Я возлагаю на вас большие надежды."""
