name_7009#0,""Орандже"""
msn_011064_001_0010#0,"""О, так вы пришли. Меня зовут Орандже."""
msn_011064_001_0020#0,"""Что ж, давайте поговорим."""
msn_011064_001_0030#0,"""Вы же ещё не пользовались...<br>“Продуктовым прилавком”?"""
msn_011064_001_0040#0,"""Для сражений ARKS необходимо оружие и броня, но также важно<br>не забывать о регулярных приёмах пищи."""
msn_011064_001_0050#0,"""Сбалансированное питание позволит вам<br>эффективней сражаться против DOLLS."""
msn_011064_001_0060#0,"""И для этого, сначала соберите ингредиенты.<br>Посмотрим... как смотрите на мясо теймзов?"""
msn_011064_001_0070#0,"""Теймзы - мирные существа, которых можно найти неподалёку<br>от Централ-Сити. Есть такие, как например:<br>Диан, Сани, Патт, Мобер и Туабер."""
msn_011064_001_0080#0,"""Я пришлю вам информацию о местоположении, так что,<br>пожалуйста, используйте её, чтобы найти."""
msn_011064_001_0101#0,"""В городе Эарио вам пришлось не легко.<br>Но, я рада, что вы в безопасности."""
msn_011064_001_0102#0,"""Для начала, пожалуйста, отдохните немного."""
msn_011064_001_0201#0,"""Это замечательно, что вы серьёзно относитесь<br>к миссии, но не будьте слишком безрассудны."""
msn_011064_001_0202#0,"""В случае возникновения непредвиденной ситуации, пожалуйста,<br>позаботьтесь о собственной безопасности в первую очередь."""
