Begin#0,"""開始5151"""
Success#0,"""成功5151"""
Failure#0,"""失敗5151"""
Dead#0,"""自分死亡5151"""
BuddyDead#0,"""相手死亡5151"""
Evolution#0,"""発展5151"""
Begin#1,"""/ci1 2 Me muevo con mi voluntad. <br> Quiero ayudarte ahora. <br> Eso es todo."""
Success#1,"""/ci1 5 Está bien, absolutamente.<br>Porque eres esa persona."""
Failure#1,"""……Creo que es bastante molesto si es imposible hacer más.<br>El resto depende de usted……"""
Dead#1,"""Lamento la falta de poder."""
BuddyDead#1,"""… No hay tal cosa.<br>Levántate temprano."""
Begin#2,"""/ci1 2 <%me>!<br>¡Matoi! <br> ¡Vine a ayudarte!"""
Success#2,"""/ci1 5 Me alegro de poder ser de utilidad. El resto depende de usted. Manténganse a salvo, los dos."""
Failure#2,"""Esperaba servir de distracción, pero tengo que retirarme...<br> me disculpo."""
Dead#2,"""Pido disculpas ... <br> Espero que puedas perdonarme."""
BuddyDead#2,"""/ci1 3 Esta es una situación difícil...<br>¡Pero aún puedo luchar!"""
