Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 1 ¡Senpai!, ¡Matoi!<br>¡Pelearé con ustedes!"""
Success#1,"""/ci1 2 Espero que esta área esté despejada ahora. Adelante, senpai. Asegúrese de regresar en una pieza."""
Failure#1,"""Lo siento, senpai...<br>Quería alejarlos de tu espalda para que no tuvieras que gastar demasiada energía, pero..."""
Dead#1,"""Lo siento, senpai...<br>No tengo ganas de ver esto hasta el final..."""
BuddyDead#1,"""Azanami! OK, déjamelo a mí!"""
