un_065110_0010#0,"""...E recibido su reporte.<br>Desafortunadamente, no hay opción.<br>Por favor retirate y descansa."""
un_065110_0020#0,"""Muchas gracias por todo.<br>¿Hay algo en que te pueda ayudar?"""
un_065110_0030#0,"""Esa persona informo sobre los progresos de su misión, desafortunadamente... El resultado fue muy malo."""
un_065110_0040#0,"""Se puede decir que el único éxito fue que pudiera escapar el solo de la aniquilación."""
un_065110_0050#0,"""Los resultados de ser enviado a los campos de batalla pueden ser lesiones graves...<br>Pero este tipo de situaciones también pueden ocurrir."""
un_065110_0060#0,"""Aunque estoy preparada...<br>Me pregunto si hubo algún error en mis ordenes."""
un_065110_0070#0,"""Estos son los riesgos que conllevan las misiones."""
un_065110_0080#0,"""¿Vamos a tomar algo y discutirlo?"""
un_065110_0090#0,"""Tienes razón.<br>por supuesto, entiendo que tu estas preparado para eso..."""
un_065110_0100#0,"""No...<br>Muchas gracias por tu consideración.<br>Por tu amabilidad es que todos te aman."""
un_065110_0110#0,"""Aunque creo que fueron las mejores órdenes para ese momento...<br>al revisar con detenimiento, métodos menos peligrosos se me vienen en mente."""
un_065110_0120#0,"""Es doloroso pensar en las víctimas, pero al revisarlas constantemente, la próxima vez encontraremos formas de lograr mejores resultados y que conlleven menos riesgos."""
un_065110_0130#0,"""Y finalmente, me gustaría incrementar enormemente la cantidad de números de ARKS que regresan a salvo.<br>Ese es mi deseo ahora."""
un_065110_0140#0,"""Los dos guardianes han estado trabajando mucho."""
un_065110_0150#0,"""Esta es la misión más dificultosa que asignado en mi vida... Asegúrate de regresar a salvo."""
un_065110_0160#0,"""Esta no es una orden...<br>Conociéndote desde el momento en que te volviste ARKS...<br>Es una solicitud de una administradora."""
