st_065090_0010#0,"""...Lamentable. Qué lamentable."""
st_065090_0020#0,"""Mi victoria no era posible. La historia realmente se repite."""
st_065090_0030#0,"""¿La historia se repite?"""
st_065090_0040#0,"""¿Qué quieres decir?"""
st_065090_0050#0,"""Es precisamente como dije. Después de todo, no somos más que un recipiente para el mundo."""
st_065090_0060#0,"""Una y otra vez, se repite. Nuestra historia... Comenzará de nuevo desde el principio."""
st_065090_0070#0,"""Dime, <%me>."""
st_065090_0080#0,"""Destruir el mundo o borrarse a sí mismo. ¿Cuál escogerías?"""
st_065090_0090#0,"""Mientras existan los Photons... Más bien, mientras tú y yo existamos, debemos seguir eligiendo."""
st_065090_0100#0,"""¡¿<%me>?!"""
st_065090_0110#0,"""¡Lecturas de factor Darker de alta pureza que emanan de <%me>!<br>¡¿De dónde podrían haber venido?!"""
st_065090_0120#0,"""¿Es el [Profound Darkness] original...? ¡Está poseyendo a <%me>...!"""
st_065090_0130#0,"""El original [Profound Darkness] era la antítesis de los Photons. No nació. Simplemente existia."""
st_065090_0140#0,"""Su recipiente, Shiva se perdió. Por lo tanto, es natural que se mueva al siguiente recipiente, al más fuerte disponible."""
st_065090_0150#0,"""¿Qué harás?"""
st_065090_0160#0,"""Si quiere destruirlo todo..."""
st_065090_0170#0,"""Si lo llevo a algún lugar que no pueda destruir..."""
st_065090_0180#0,"""...En efecto. Esa también sería mi elección."""
st_065090_0190#0,"""¡Estoy detectando distorsiones dimensionales masivas centradas en <%me>!<br>¡¿Está planeando teletransportarse a alguna parte?!"""
st_065090_0200#0,"""No, esto es...<br>¡¿Viaje en el tiempo?!, ¡No me digas!...<br>¡¿Hasta dónde planeas volver?!"""
st_065090_0210#0,"""¡No! detente... ¡<%me>!"""
st_065090_0220#0,"""¡<%me>!... ¡¡¡¡<%me>!!!!"""
