un_065120_0010#0,"""Hola, <%me>.Ha pasado un tiempo, Me alegro de que estés bien."""
un_065120_0020#0,"""Oh sí, debido a los esfuerzos de Xiera, falta solo un poco hasta que la nave de los ARKS sea completamente independiente."""
un_065120_0030#0,"""Si dejo ir el control y lo dejo todo en automático, es probable que eso empiece a ser una molestia. ¿Deberíamos calcular incluso en el futuro?"""
un_065120_0040#0,"""¿Hay algo más que se pueda hacer además de calcular?"""
un_065120_0050#0,"""¿Dónde está Xiera?"""
un_065120_0060#0,"""No te ves preocupad@. Nunca me he abrumado con los deseos futuros de las personas."""
un_065120_0070#0,"""Ah, Xiera salió y dijo que tenía algo que debía hacer, pero creo que se pondrá en contacto pronto."""
un_065120_0080#0,"""Xiao, ¡Aquí Xiera! \u3000 ¡Entregare los resultados de la intervención!"""
un_065120_0090#0,"""El tema de hoy es ¿Cuál es el entorno en el que las mujeres ARKS pueden trabajar más fácilmente?"""
un_065120_0100#0,"""Oh <%me>, si te interesa, ¡Únete a nosotros!"""
un_065120_0110#0,"""Esto es lo que Xiera ha comenzado recientemente. Independientemente, quiero recopilar opiniones de todas las personas de ARKS con mis propios pies."""
un_065120_0120#0,"""Bueno, Ulc y yo estamos de acuerdo. Quiero valorar las opiniones de cada individuo para mejorar la organización."""
un_065120_0130#0,"""¡Déjame informar!, En primer lugar, me gustaría escuchar a la Srita. Sara, que trabaja en el Departamento de Asuntos Generales."""
un_065120_0140#0,"""¡Por favor, ten más cuidado y gracias! \u3000 ¡Además, no te sobre esfuerces!"""
un_065120_0150#0,"""……なるほど、却下。<br>今後も気遣って感謝はするけど<br>頭はなでさせてもらうよ。"""
un_065120_0160#0,"""続いては、守護輝士の<br>マトイさんからのご意見です。"""
un_065120_0170#0,"""「みんなの幸せを守りつづけたい。<br>\u3000わたしは、それだけで充分だよ」"""
un_065120_0180#0,"""うん、なるほどね。<br>ちょっとテーマとずれてる所も含めて<br>実にマトイらしい意見だ。最後は？"""
un_065120_0190#0,"""「情報屋の地位向上！<br>\u3000パティちゃんえらいって褒めてー！」"""
un_065120_0200#0,"""……隣のティアさんは、ため息でした。"""
un_065120_0210#0,"""……素質はともかく、情報部に<br>パティエンティアを入れたらどうなるか<br>ちょっと見てみたい気はするかな。"""
un_065120_0220#0,"""今日は以上ですが<br>せっかくなので、私からもひとつ！<br>女性キャスト向けに、胸パーツの……"""
un_065120_0230#0,"""悪いね、シエラ。<br>つい手が滑って、切っちゃったよ。<br>はは。"""
un_065120_0240#0,"""……とまあ、こんな調子で<br>今日もアークスは平和そうだね。"""
un_065120_0250#0,"""平和な日常、か……<br>本来辿るべき運命から君が連れ出した<br>「奇跡」そのものだね。"""
un_065120_0260#0,"""でも、ときどき思うんだ。<br>「奇跡」を手に入れた先にあるのは……<br>破滅の道だけじゃないか、って。"""
un_065120_0270#0,"""シオンという「奇跡」を手に入れても<br>闘争や犠牲の悲劇が繰り返されたのは<br>それが「正しい」運命だから……とか。"""
un_065120_0280#0,"""……あはは。<br>そんなに深刻な顔をしないでよ。<br>ごめん、意地悪を言ったね。"""
un_065120_0290#0,"""遠い未来や、未来と共に歩む者。<br>それらが、どのように変わるとしても<br>ぼくは……「奇跡」を願ってるよ。"""
