st_065080_0420#0,"""...... ¿Hasta aquí llegue?<br>Pero debería haber sido suficiente tiempo."""
st_065080_0430#0,"""Mi lucha no es en vano.<br>No temere si asi soy la base del futuro."""
st_065080_0440#0,"""Pero... Pero Alma.<br>Si se hiciera realidad, quisiera volver a verte<br>...Lo deseo desde el fondo de mi corazón."""
st_065080_0450#0,"""¿Esta es... (Yonohate)?"""
st_065080_0460#0,"""....Ah, terrible Regi.<br>¿A cazo no crees en mí?"""
st_065080_0470#0,"""Eso no es cierto...<br>... Alma."""
st_065080_0480#0,"""Perdón por llegar tarde, Regius.<br>Pero ya no te volvere a dejar solo.<br>Yo también estoy contigo."""
st_065080_0490#0,"""Una promesa que era demasiado pesada para una persona<br>seguramente se hará realidad si dos personas.<br>...Caminan juntas."""
st_065080_0500#0,"""...Si.<br> Protejamos Arks juntos."""
st_065080_0510#0,"""...Vamos, (Alma)."""
st_065080_0520#0,"""Aquí creamos la base del futuro."""
name01#0,"""？？？"""
name02#0,"""Regias y Alma"""
