st_065020_0001#0,"""A.P.242/3/29"""
st_065020_0010#0,"""¿Eso es ... Regius y Alma?"""
st_065020_0020#0,"""Nuestra próxima batalla será de gran importancia para ARKS. Es una batalla que debemos ganar."""
st_065020_0030#0,"""...Si, tienes razón. Si perdemos, se acabó todo."""
st_065020_0040#0,"""Es muy posible que tenga que dar mi vida para proteger a todos."""
st_065020_0050#0,"""...No. Eso no es solo una posibilidad. Es casi seguro que tendré que hacerlo."""
st_065020_0060#0,"""...Lo entiendo. Básicamente estás diciendo que no puedo detenerte. Siempre has sido así, Gi."""
st_065020_0070#0,"""...Me duele profundamente dejar sin cumplir la promesa que te hice."""
st_065020_0080#0,"""Sin embargo, es algo que debo hacer. El camino hacia el futuro debería estar más allá de los cimientos de nosotros, los viejos soldados."""
st_065020_0090#0,"""Rezo para que podamos darles un futuro."""
st_065020_0100#0,"""Ese es el último deseo de un hombre cobarde que ni siquiera pudo cumplir una sola promesa."""
st_065020_0110#0,"""...Eso no es cierto, Gi."""
st_065020_0120#0,"""Has cumplido tu parte de la promesa más que suficiente. Estoy conmovida más allá de las palabras."""
st_065020_0130#0,"""Incluso si no puedes verme, nuestros corazones están unidos. No dejaré que ese sea tu último deseo. No te dejaré solo."""
