un_063170_0010#0,"""¡Oh!, ¡Buenos días!, ¡Aquí estamos Patty y Tea!"""
un_063170_0020#0,"""Ah, <%me>. Ahora mismo estamos discutiendo las impresiones sobre las operaciones para las actualizaciones de los A.I.S."""
un_063170_0030#0,"""Ellas se hacen llamar así mismas informantes, y aparentemente ellas han escuchado opiniones de otros miembros Arks."""
un_063170_0040#0,"""Muy bien, ¿Por qué no me comentan ahora ustedes dos sobre sus opiniones personales?"""
un_063170_0050#0,"""Wow Ludmilla, tu sí que tienes un gran ojo si nos buscas a nosotras para obtener información."""
un_063170_0060#0,"""Nosotras tenemos experiencia pilotando A.I.S; así que por favor déjanos saber cómo podemos ayudar."""
un_063170_0070#0,"""Sí, ¡Sí!, Nosotras siempre somos las que entrevistamos, así que es un poco divertido ser las que están siendo entrevistadas de vez en cuando"""
un_063170_0080#0,"""Yo soy la única de nosotras dos la que siempre hace todas las entrevistas... Tu realmente deberías comenzar por tu cuenta, Patty."""
un_063170_0090#0,"""¡Muy bien entonces!, ¡Pregúntame lo que sea!"""
un_063170_0100#0,"""¿Siquiera nos estas escuchando hermana tonta?"""
un_063170_0110#0,"""Entonces comencemos con lo básico. ¿Cómo es la movilidad en el espacio exterior?, ¿Sienten algún efecto en sus cuerpos?"""
un_063170_0120#0,"""Ahh, Bueno eso es un poco como un sentimiento de flotar más que sobre estar en tierra. Algunas veces es como... \""hrng!\"" Creo..."""
un_063170_0130#0,"""Ah, um... Bien, Que tal sobre el contragolpe del A.I.S. al usar el  Hi-Boost?"""
un_063170_0140#0,"""Ese es el comienza como...  \""bam!\"" y después termina todo en \""gwah!\"", ¿Cierto? ¡Me gusta ese!"""
un_063170_0150#0,"""Uh-huh, Ya veo... ¿Qué tal tú, Tea?"""
un_063170_0160#0,"""En el espacio, puede realmente ser dificultoso para definir el arriba o abajo en algunas ocasiones..."""
un_063170_0170#0,"""Hay un poco de presión durante el Hi-Boost, pero no creo que eso sea suficiente como para preocuparnos."""
un_063170_0180#0,"""¡Ya veo! ¿Qué opinas sobre la precisión al disparar?"""
un_063170_0190#0,"""Creo que si usaran munición real, la resistencia del aire tendría una mayor influencia, pero debido a que se usan balas Photon, es un problema menor..."""
un_063170_0200#0,"""Oki-dokie! ¿Tienes alguna otra pregunta para mí?"""
un_063170_0210#0,"""Ah, Ya termine todo contigo. Muchas gracias."""
un_063170_0220#0,"""Oh si <%me>. También me gustaría preguntar por tu opinión personal mas tarde. Ahora, Si no te importa contestar más preguntas Tea..."""
un_063170_0230#0,"""¡No me ignores!, ¡También quiero contestar!."""
