Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 1 ¡Sí, sí!, ¡Yo también estoy aquí! Entonces, ¿Cómo quieres abordar esto?"""
Success#1,"""/ci1 2 Shiva es muy peligrosa, pero no olvides que hay gente aquí esperando que regreses."""
Failure#1,"""Lo siento, ustedes dos. Buena suerte..."""
Dead#1,"""Lo siento, Io...<br>Están en tus manos ahora..."""
BuddyDead#1,"""Lo hiciste lo mejor que pudiste, Io...<br>¡Parece que me corresponde a mí tomar la parte de Io."""
