un_065070_0020#0,"""Control de gestión...<br>Código de operación independiente... Liberar, ¡Juh!"""
un_065070_0030#0,"""¡Hmm! \u3000¡Se acabó!<br>Este es el final del primer párrafo."""
un_065070_0040#0,"""Xiao ha regresado y finalmente la carga sobre mis hombros también ha disminuido."""
un_065070_0050#0,"""La amenaza de 【Proffund Darkness】 se ha ido y tu <%me> pudiste regresar sano y salvo, además ya todo está en orden."""
un_065070_0060#0,"""Ahora que 【Proffund Darkness】 y los Dark Falz han desaparecido, ya no hay necesidad de preocuparse por el nacimiento de un Dark Falz."""
un_065070_0070#0,"""Sin embargo, los restos de los Darker, las criaturas y armas infectadas y las bestias feroces todavía existen."""
un_065070_0080#0,"""Por lo tanto, nuestras actividades como ARKS continuarán."""
un_065070_0090#0,"""¡Pero algún día deberías poder deshacerte de todos los Falz de este universo!"""
un_065070_0100#0,"""¡Hasta entonces <%me>, esta agraciada Xiera seguira siendo tu navegadora personal!"""
un_065070_0110#0,"""Hace poco yo era una chica que te acababa de conocer... Así que.. ¿Cómo me consideras ahora? \u3000¿Cómo me sientes?"""
un_065070_0120#0,"""Te has vuelto confiable"""
un_065070_0130#0,"""Aún no te creo capas"""
un_065070_0140#0,"""¿¿¡Es esto cierto!??<br>¡Lo logre!,<br>¡Fui elogiada por <%me>!"""
un_065070_0150#0,"""¡Ah... soy como una niña que crece cuando se le felicita!, Hare mi mejor esfuerzo cada vez más... ¡Me gustaría recibir muchos cumplidos!"""
un_065070_0160#0,"""¡Es duro!<br>Pero todavía tengo mucho que aprender... Estoy un poco emocionada."""
un_065070_0170#0,"""¡Entonces, <%me>!<br>¡Esperare contar con tu continuo apoyo a esta sencilla, Xiera!"""
