un_065150_0010#0,"""Oh, <%me>.<br>¿Como has estado?"""
un_065150_0020#0,"""Estoy lista, por supuesto.<br>...Finalmente llego la hora."""
un_065150_0030#0,"""¡Sí Sí!<br>Tengo a los dos guardianes<br>¡Y de repente, tengo una pregunta!"""
un_065150_0040#0,"""¿Eh, eh? <br>De repente, ¿Qué?..."""
un_065150_0050#0,"""¡Problema! \u3000Los dos guardianes<br>¿Qué piensan sobre la próxima batalla?<br>¿¿¡Acaso no sera un desafio!??"""
un_065150_0060#0,"""No es una pregunta<br>es un problema<br>Patty-chan..."""
un_065150_0070#0,"""¿¿¿Cuál de las siguientes opciones escojeran???<br>A: ¡Derrotan a Shiva incluso si mueren!<br>B: ¡Definitivamente regresaran con vida!"""
un_065150_0080#0,"""Si eligen A<br>Incluso si mueren..."""
un_065150_0090#0,"""...¿Que ocurre Patty-chan?"""
un_065150_0100#0,"""No, aunque se mueran<br>Iba a decir...<br>¿No es precioso el autosacrificio?"""
un_065150_0110#0,"""Por qué... Entonces devuelve la palma"""
un_065150_0120#0,"""¡Enfréntarse a un enemigo fuerte y estar desesperados!<br>¡En ese momento! \u3000¡Déjamelo a mí y sigan adelante!<br>¡Esto estara que arde!"""
un_065150_0130#0,"""Dios... ¿Bien, Patty-chan? ¿Cuántos 1 estás restando?"""
un_065150_0140#0,"""¡No me tomes por tonta!<br>¡Se decidió ser 1!"""
un_065150_0150#0,"""No se ha decidido...<br>La respuesta es 0, ¿Verdad?"""
un_065150_0160#0,"""Oh si... ¿Entonces?"""
un_065150_0170#0,"""Incluso si puedes lograr tus objetivos<br>Si muere un ser querido<br>1 menos 1, es 0."""
un_065150_0180#0,"""Entonces, al aplicar el problema.<br>Cuando se alcanzen los objetivos<br>¿Qué pasa si una persona importante regresa con vida?"""
un_065150_0190#0,"""Entonces, 1 más 1... <br> ¡La respuesta es 2!"""
un_065150_0200#0,"""Sí, esoe s correcto.<br>Por eso la respuesta es dos."""
un_065150_0210#0,"""Creo que deben estar preparados para la muerte. Sin embargo, si pierden a dos personas el resultado..."""
un_065150_0220#0,"""¡No sé 1 menos 2! ¡Pero tienes lo que querías decir!"""
un_065150_0230#0,"""Bueno en fin, ¡Respondamos juntos la primera pregunta!"""
un_065150_0240#0,"""¡Definitivamente regresaré con vida!"""
un_065150_0250#0,"""Sí... Yo también lo prometo. Definitivamente regresaré viva."""
un_065150_0260#0,"""¡Definitivamente es una promesa!<br> ¡Si la rompen, se sentirán avergonzados<br>porque difundire la información!"""
un_065150_0270#0,"""¿¿¡Sí, sí!??<br>Sí, no debería ser así..."""
un_065150_0280#0,"""Quizás en ese momento... O... De ninguna manera secretamente a <%me>..."""
un_065150_0290#0,"""¡No, Matoi!<br>¡No te dejes engañar por Patty!"""
