st_065110_0450#0,"""¡Abre los ojos, Guardián!"""
st_065110_0460#0,"""¡Tu fin aún no ha llegado!, ¡No te dejaré!"""
st_065110_0470#0,"""¡Los lazos que ha forjado son la respuesta!"""
st_065110_0480#0,"""Este poder que me diste... Fue para salvar a todos...."""
st_065110_0490#0,"""Así que esta vez..."""
st_065110_0500#0,"""¡Lo usaré para salvarte!"""
st_065110_0510#0,"""¡Purga a los impuros, Ame-no-Murakumo!"""
st_065110_0511#0,"""¡Hn!"""
st_065110_0512#0,"""¡Hm!"""
st_065110_0513#0,"""¡Ha!"""
st_065110_0514#0,"""¡Tah!"""
st_065110_0515#0,"""¡Ya!"""
st_065110_0516#0,"""¡Kh!"""
st_065110_0517#0,"""¡Ha!"""
st_065110_0518#0,"""¡Hah!"""
st_065110_0520#0,"""¡<%me>!"""
st_065110_0530#0,"""¡Aún no!, ¡Aún no ha terminado!"""
st_065110_0540#0,"""¡Todavía no he hecho nada contigo!, ¡No he tenido la oportunidad de ser una chica normal!"""
st_065110_0550#0,"""Si dejamos las cosas... Puede que todavía haya un futuro por delante. ¡Pero yo... Yo no quiero eso si no es contigo!"""
st_065110_0552#0,"""¡Kh!"""
st_065110_0553#0,"""¡Ah!"""
st_065110_0554#0,"""¡Kya!"""
st_065110_0555#0,"""¡Hngh!"""
st_065110_0560#0,"""...Nosotros podemos estar juntos"""
st_065110_0570#0,"""¡Quiero estar contigo!"""
st_065110_0580#0,"""¡Quiero ver el futuro contigo!"""
st_065110_0590#0,"""Por favor...!"""
st_065110_0600#0,"""Por favor...!"""
st_065110_0610#0,"""Por favor... Vuelve!"""
st_065110_0620#0,"""¡Guardian...!"""
st_065110_0630#0,"""¡...<%me>!"""
st_065110_0640#0,"""¡<%me>!"""
st_065110_0650#0,"""...Gracias."""
st_065110_0660#0,"""Guardemos nuestro agradecimiento para después de habernos ocupado de esa cosa."""
st_065110_0670#0,"""...La abrumadora oscuridad que te quitamos. Incluso sin un anfitrión, todavía está aquí..."""
st_065110_0680#0,"""Ese es  [Profound Darkness], que nacio durante la era de los Photoners. Esa oscuridad es su raíz. Un puro deseo de destruir todo."""
st_065110_0690#0,"""Con su destino y recipiente perdido, se ha convertido en el poder encarnado..."""
st_065110_0700#0,"""...No podemos dejarlo así ... ¡No dejaré que nadie más se convierta en un sacrificio, nunca más!"""
st_065110_0710#0,"""Esto es...<br>Puedo sentir los sentimientos de todos."""
st_065110_0720#0,"""Todo lo que vive...<br>Todo lo que ha vivido...<br>Todos sus deseos se reúnen aquí."""
st_065110_0730#0,"""Se están convirtiendo en una luz para purificar la oscuridad...<br>Una gran luz..."""
st_065110_0740#0,"""El poder de todos los seres vivos se ha reunido aquí. Todo lo que alguna vez fue ha llevado a esto."""
st_065110_0750#0,"""Y a partir de aquí empezarán. Los recuerdos de un nuevo universo."""
st_065110_0760#0,"""Los lazos que has forjado... Todos se han reunido aquí."""
st_065110_0770#0,"""¡Vayamos más allá de nuestro presente!"""
