st_065080_0530#0,"""¡Tch!"""
st_065080_0540#0,"""...Mira, algo se acerca!"""
st_065080_0550#0,"""〔とりゃー！"""
st_065080_0560#0,"""Pe-, pero que?!"""
st_065080_0570#0,"""¡Huey! ¿Estas bien?"""
st_065080_0580#0,"""¡Claris Claes?! y ¡Sara!"""
st_065080_0590#0,"""¡Maria!, ¡No deberias estar haciendo esto a tu edad!"""
st_065080_0600#0,"""¿Como llegaron aqui...?"""
st_065080_0610#0,"""Escuchamos que estaban en apuros, ¡Así que tuvimos que venir a ayudar!"""
st_065080_0620#0,"""¿En qué estaba pensando, no llamarnos para una operación tan masiva?"""
st_065080_0630#0,"""Bueno, ese fue probablemente el plan de Xiao desde el principio."""
st_065080_0640#0,"""〔¡Transferencia de ceniza!〕<br>〔Esto es divertido!〕"""
st_065080_0650#0,"""jejejeje, ¡Jajajajaja!, ¡Esto se esta poniendo emocionante!"""
st_065080_0660#0,"""...Cielos, ¡Que montón de mocosos descarados!, ¡No pueden simplemente irrumpir en nuestra batalla!"""
st_065080_0670#0,"""¡Pero ahora estoy mas que motivada!, ¡¿Vamos, Huey?!"""
st_065080_0680#0,"""¡Claro!"""
st_065080_0690#0,"""¡Aplastalos! hacha cegadora, ¡Labrys!"""
st_065080_0700#0,"""¡Despierta! Gran puño, ¡Wolfram!"""
