name_7707#0,"""マーリン"""
ssn_014334_0001#0,"""リンチェから聞いているよ。<br>テイムズの肉を届けにきたんだね？"""
ssn_014334_0101#0,"""Hand over the 10 pieces of Sharp Retena Meat"""
ssn_014334_0102#0,"""やめる"""
ssn_014334_0201#0,"""サンキュー。<br>確かに受け取ったよ。"""
ssn_014334_0202#0,"""あれ、これじゃ足りないかも……。<br>悪いけど、もう少しだけ集めてきてくれる？"""
ssn_014334_0203#0,"""あら……そう。<br>こんどは肉、お願いね。"""
ssn_014334_0301#0,"""いやほんと、ご苦労さんだったね。<br>でもこれで、精のつく料理を作れそうだ。"""
ssn_014334_0302#0,"""さて、さっそく仕事にとりかかるかな。"""
ssn_014334_0401#0,"""いやほんと、ご苦労さんだったね。<br>でもこれで、精のつく料理を作れそうだ。"""
ssn_014334_0402#0,"""さて、さっそく仕事にとりかかるかな。"""
ssn_014334_0501#0,"""大丈夫？<br>疲れたんじゃない？"""
ssn_014334_0502#0,"""お腹が減ってたら、<br>なにか美味しいもの作ってあげるよ。"""
