name_7707#0,"""Marlynn"""
ssn_014424_0001#0,"""มาช่วยพวกเราอีกแล้วเหรอ? ขอบใจนะ<br>แล้ว เอาผักมาด้วยรึเปล่า?"""
ssn_014424_0101#0,"""ส่งมอบ Refreshing Retena Cranberries 10 ชิ้น"""
ssn_014424_0102#0,"""กลับ"""
ssn_014424_0201#0,"""ได้แล้ว ขอบใจนะ"""
ssn_014424_0202#0,"""อืม ฉันว่าแค่นี้คงไม่พอ รบกวนไปหามาเพิ่มอีกหน่อยได้ไหม?"""
ssn_014424_0203#0,"""อืม... คราวนี้เป็นผัก เอาล่ะ"""
ssn_014424_0301#0,"""อืม สดใหม่กำลังดีเลย น่าจะเอาไปทำอะไรดีๆ ได้เยอะเลย"""
ssn_014424_0302#0,"""ได้อาหารแบบนี้ เดี๋ยวคนป่วยของเราก็กลับมาแข็งแรงในพริบตาแน่ๆ คงต้องไปทำงานแล้วล่ะ"""
ssn_014424_0401#0,"""ไม่เป็นไรใช่ไหม? น่าจะพักสักหน่อยนะ?"""
ssn_014424_0402#0,"""ถ้าหิว ฉันทำของอร่อยๆ ให้กินได้นะ"""
ssn_014424_0501#0,"""ขอโทษด้วยนะที่ใช้งานเธอซะเยอะ แต่ตอนนี้ฉันทำอาหารอร่อยๆ ได้แล้วล่ะ"""
ssn_014424_0502#0,"""เอาล่ะ คงต้องไปทำงานแล้วล่ะ"""
