name_7224#0,"""Citrae"""
ssn_019060_001_0001#0,"""来てくれて、ありがとう。<br>あらためて、自己紹介するね。"""
ssn_019060_001_0002#0,"""ボクの名前はシトレー。セントラルシティの補給隊所属で、<br>物資の管理とか、戦闘の支援とかを担当してるんだ。"""
ssn_019060_001_0003#0,"""補給は戦いの生命線！<br>どんなところにでも物資を届けるよ。"""
ssn_019060_001_0004#0,"""でも、最近エネミーの活動が活発になっててね。<br>輸送任務や、そもそもの物資調達に支障が出てるんだ。"""
ssn_019060_001_0005#0,"""安全な補給線を維持するために、<br>エネミー討伐を手伝ってもらえないかな？"""
ssn_019060_001_0006#0,"""まずは……そうだね、近ごろ特に活発になってる<br>シンボル付きのエネミーをたくさん倒してきて欲しい。"""
ssn_019060_001_0007#0,"""頑張ってくれたら、<br>お礼にいいものをあげるよ！"""
ssn_019060_001_0008#0,"""それじゃ、よろしくねー！"""
ssn_019060_001_0101#0,"""補給は戦いの生命線！<br>エネミーの妨害なんかに負けないよ。"""
ssn_019060_001_0102#0,"""でも、今はちょっと大変なんだよね……。"""
ssn_019060_001_0201#0,"""おっ、戻ってきた。<br>そうそう、これこれ！"""
ssn_019060_001_0202#0,"""助かったよー。<br>これで、みんなの食卓に彩りが増えるね。"""
ssn_019060_001_0203#0,"""手伝ってくれたお礼に、<br>調理したバルーニィミックスと交換するから、キミも食べてみてよ。"""
ssn_019060_001_0204#0,"""それを食べて、いつもの任務も頑張って！"""
ssn_019060_001_0205#0,"""……で、ボクからの次のお願いなんだけど、<br>シンボル付きのエンハンスドエネミーを倒してほしいんだ。"""
ssn_019060_001_0206#0,"""輸送隊は戦い慣れしてないから、<br>エンハンサーをうまく狙うとか苦手でさー。"""
ssn_019060_001_0207#0,"""それじゃ頼むよ。<br>よろしくねー！"""
ssn_019060_001_0301#0,"""お帰り！<br>怪我はなかった？"""
ssn_019060_001_0302#0,"""本当に助かったよ。<br>協力してくれてありがとう。"""
ssn_019060_001_0303#0,"""おかげで、だいぶ輸送がしやすくなったよ。<br>これで、どこにでも物資を届けられるね。"""
ssn_019060_001_0304#0,"""そこで！\u3000これまでのお礼に、<br>特別なアイテムをあげる！"""
ssn_019060_001_0305#0,"""ほかにも必要なモノがあれば、<br>いろいろと用意してあるからいつでも言ってよ。"""
ssn_019060_001_0306#0,"""それから、またエネミーが増え始めたら、<br>蹴散らしちゃってよね！"""
ssn_019060_001_0401#0,"""お帰り！<br>それじゃ、詳しい話をするね。"""
ssn_019060_001_0402#0,"""実は、偵察中のアークスから、<br>西エアリオにシンボル付きが集まってるって報告があったんだ。"""
ssn_019060_001_0403#0,"""戦闘団のほうで、その掃討作戦を準備中らしくてさ。<br>キミの活躍っぷりを見てて、手伝ってもらえないかなって思ってね。"""
ssn_019060_001_0404#0,"""作戦開始前に、アナウンスがあるみたいだから、<br>それまでに準備を整えておくといいかも。"""
ssn_019060_001_0405#0,"""ああ、そうそう。通常とはようすの違うエネミーも<br>混じってるって話だから、十分に気をつけてね。"""
ssn_019060_001_0406#0,"""それじゃ、頼んだよ。<br>よろしくね！"""
npc_menu_0001#0,"""Exchange Seasonal Points for Items (Ends April 6, 2022, 11:00 JST)"""
npc_menu_0002#0,"""Exchange Seasonal Gathering Materials for Items (Ends April 6, 2022, 11:00 JST)"""
npc_menu_0003#0,"""Learn About Seasonal Events"""
npc_menu_0004#0,"""Close Menu"""
npc_menu_0005#0,"""About Seasonal Events"""
npc_menu_0006#0,"""About the Seasonal Event Character"""
npc_menu_0007#0,"""About Additional Daily/Weekly Tasks"""
npc_menu_0008#0,"""About Mischief Symbols"""
npc_menu_0009#0,"""About Seasonal Gathering"""
npc_menu_0010#0,"""About Seasonal Regional Mags"""
npc_menu_0011#0,"""About Seasonal Enemies"""
npc_menu_0012#0,"""About World Trials"""
npc_menu_0013#0,"""About Limited Time Quests"""
npc_menu_0014#0,"""About Limited Time Scratches"""
npc_menu_0015#0,"""About Additional Limited Time Tasks"""
npc_menu_0016#0,"""Don't ask anything"""
