msc_023190_0010#0,"""너희들!"""
msc_023190_0020#0,"""브루더!"""
msc_023190_0030#0,"""음성: 아이나 부대의 모브 아크스⑥"""
msc_023190_0040#0,"""브루더 교관님…."""
msc_023190_0050#0,"""이야기는 란에게서 들었어."""
msc_023190_0060#0,"""무사히 잘 돌아와 주었어."""
msc_023190_0070#0,"""흠…."""
msc_023190_0080#0,"""전사의 얼굴로 돌아왔구나."""
msc_023190_0090#0,"""힘든 싸움을, 잘 이겨냈어."""
msc_023190_0100#0,"""아이나도 짧은 시간 동안<br>완전히 교관이 되었어."""
msc_023190_0110#0,"""아이나의 능력의 본질은<br>이해력과 응용력에 있어."""
msc_023190_0120#0,"""너나 마논에게서<br>싸우는 법을 터득해 나갔을 때 처럼…."""
msc_023190_0130#0,"""지금은 교관, 리더로서,<br>어떻게 해야 하는지를 이해하고, 몸소 보여줬어."""
msc_023190_0140#0,"""아이나는 대단해."""
msc_023190_0150#0,"""나는 엄두조차 안나."""
msc_023190_0160#0,"""그래.<br>뛰어난 아크스야."""
msc_023190_0170#0,"""아아, 그래."""
msc_023190_0180#0,"""아이나는 강해."""
msc_023190_0190#0,"""자신을 다스리고, 항상 타인을 우선시 해."""
msc_023190_0200#0,"""그리고 그 어떤 위기를 마주하더라도<br>꺾이지 않는 마음을 가졌어."""
msc_023190_0210#0,"""그게 아이나의 구심력으로 이어지겠지."""
msc_023190_0220#0,"""앞으로도 얼마나 성장할지,<br>나도 기대하고 있어."""
msc_023190_0230#0,"""언젠가는 가로아를 뛰어넘는<br>존재가 될지도 모르겠군."""
