un_046050_0010#0,"""……아, 선배.<br>마침 잘 왔어."""
un_046050_0020#0,"""조세핀?"""
un_046050_0030#0,"""……이 애, 왜 여기에?"""
un_046050_0040#0,"""조세핀?<br>뭐야 그게, 얘 이름이야?"""
un_046050_0050#0,"""나도 잘 모르겠어.<br>갑자기 휙 날아왔거든."""
un_046050_0060#0,"""얘, 그거지.<br>서모너라는 클래스의 펫이잖아?<br>주인에게 순종적이고 전력으로 따른다는."""
un_046050_0070#0,"""혹시 선배의 펫……<br>이라는 느낌은 아니네."""
un_046050_0080#0,"""어~이, 너, 자기 주인 놔두고<br>이런데서 느긋하게 있어도 되는 거야~?"""
un_046050_0090#0,"""하하핫, 사람을 잘 따르네, 너.<br>그래그래, 착하다 착해."""
un_046050_0100#0,"""조세피이이이~~인~~~!"""
un_046050_0110#0,"""다행이야, 이런 곳에 있었구나<br>조세핀! 걱정끼치지 말아다오!"""
un_046050_0120#0,"""어…… 혹시, 얘 주인?"""
un_046050_0130#0,"""바로 맞췄어! 난 피에트로!<br>넌 마이 프렌드의 프렌드인가?"""
un_046050_0140#0,"""프렌드라기보단 선후배지만 말이야.<br>난 이오. 잘 부탁해, 피에트로 씨."""
un_046050_0150#0,"""아하하, 알겠어 알겠어.<br>조세핀도 다시 한 번 잘 부탁해."""
un_046050_0160#0,"""자, 조세핀, 돌아가자.<br>너무 폐를 끼치면 안되지."""
un_046050_0170#0,"""아얏! 조, 조세핀…… 어째서……!<br>내 사랑이 아직 부족하단 거야!"""
un_046050_0180#0,"""……그 지나친 사랑이 싫은 거 아니야?"""
un_046050_0190#0,"""자, 조세핀.<br>피에트로 씨한테 돌아가야지.<br>네가 있을 곳은 여기가 아니야."""
un_046050_0200#0,"""……그렇게 아쉬운 표정 짓지 마.<br>난 항상 여기 있으니까 말이야.<br>만나고 싶어지면 또 오도록 해."""
un_046050_0210#0,"""으으응~! 조세피인!<br>잘 돌아왓어! 이제 널 놓지 않을 게!<br>정말 좋아해 조세핀!"""
