un_046040_0010#0,"""헉…… 헉……!"""
un_046040_0015#0,"""여, 마이 프렌드!<br>허둥대서 미안한걸!"""
un_046040_0020#0,"""그런데 마이 프렌드, 어디선가<br>조세핀을 못 봤어!?"""
un_046040_0030#0,"""못 봤어"""
un_046040_0040#0,"""나베리우스에서 봤어"""
un_046040_0050#0,"""그래……<br>큭…… 조세핀……<br>대체 어디로……!"""
un_046040_0060#0,"""뭐라고, 나베리우스에서!?<br>어떤 느낌이었는지 알려주겠어!"""
un_046040_0070#0,"""흠흠, 붉고, 선명한 색깔의……"""
un_046040_0075#0,"""그거 아기니스네! 조세핀이랑은 다르네!"""
un_046040_0080#0,"""실은 조세핀이 가출한 것 같아서……<br>다른 작업 중에 눈을 뗀 잠깐의 틈에<br>어딘가로 날아가버렸어!"""
un_046040_0090#0,"""아크스 쉽 밖에 나가지는 않았을 것 같은데<br>……아아, 사랑스러운 조세핀.<br>넌 대체 어디로……!"""
un_046040_0100#0,"""……아니, 이건 내 사랑에 대한 도전이야!<br>날 시험하고 있는 거구나, 조세핀!<br>그렇다면 따라잡도록 하겠어!"""
un_046040_0110#0,"""마이 프렌드!<br>그럼 다음에!"""
