un_043110_0010#0,"""Oh hey, I was just being told a story about you <%me>."""
un_043110_0020#0,"""Something something, if I developed better, her pride would be this and that. I don't understand the context behind it, so could you elaborate?"""
un_043110_0030#0,"""It's as I said before, if Sara was bigger, then I would have been bigger too, and I would have a nice composure with a similar aura...!"""
un_043110_0040#0,"""Oh, is there something wrong Hitsugi?"""
un_043110_0050#0,"""Oh, uh, nothing too big."""
un_043110_0060#0,"""Huh? You don't sound very enthusiastic, you ok?"""
un_043110_0070#0,"""Perhaps it's something you did from the last time you've met?"""
un_043110_0080#0,"""...Well you see, big sis' older brother just died."""
un_043110_0090#0,"""It actually turned into something serious!? Wait, I must look like someone who can't read the mood....!"""
un_043110_0100#0,"""There's no need to worry! All of the things considered to be my siblings are all dead and I've lost all of them! We're the same! The same!"""
un_043110_0110#0,"""That's totally different! And your reply was awful!"""
un_043110_0120#0,"""Even if you've told me that...! Oh right! <%me>! Show us that thing! That thing you do that comforts people!"""
un_043110_0130#0,"""That's..right. You're experienced in this sort of thing, <%me>, you can do something about it."""
un_043110_0140#0,"""Eheha. I'm fine, I don't need comforting. I'm ok.<br>I'm sorry for making you all worried."""
un_043110_0150#0,"""Right, if I become depressed,<br>everyone will worry.<br>I have to work on hiding this feeling."""
un_043110_0160#0,"""Everyone, thank you. I'm fine, so please don't worry about me. Now... let's go Aru."""
un_043110_0170#0,"""<%me>. You probably already know, but Hitsugi is pushing herself too hard."""
un_043110_0180#0,"""You know how dangerous that can get when someone is like that, right? Please keep an eye on her as much as possible."""
