a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""Beach Wars 2020!"""
Explanation#0,"""惑星ウォパルの保養地近郊にて<br>突如として幻創種、海王種、および<br>エスカダーカーの出現が確認された。<br>ビーチは混乱し被害も出ている。<br>アークス各員は、急ぎ現地へと向かい<br>状況の調査と鎮圧にあたれ。<br>――――――――――――――――――――<br>ルーム内のクエストポイント共有／有り<br>制限時間経過でクエスト終了"""
NpcComMsg1#0,"""まもなく転送を開始します。<br>今回の任務は、ビーチで暴れている<br>エネミーをすべて撃退することです！"""
NpcComMsg2#0,"""水着の女性アークスを守りつつ……いえ<br>この反応は例のマトイさんたちですね。<br>心配は無用でしょう！"""
NpcComMsg3#0,"""また、今回も謎の生物ナスナカン？\u3000が<br>すべった？\u3000とかでエネミーを怒らせて<br>ピンチだとか。助けてあげてください！"""
SimpleExplanation#0,"""Defeat enemies within the time limit!"""
Area0S#0,"""Coast Area 1"""
Area0L#0,"""Planet Wopal: Coast Area 1"""
Area1S#0,"""Coast Area 2"""
Area1L#0,"""Planet Wopal: Coast Area 2"""
