Title#0,"""บุกทะลวง Leciel"""
Summary#0,"""Leciel"""
Objective311#0,"""มุ่งหน้าเข้าไปใน Leciel"""
Objective321#0,"""กำจัดศัตรู"""
Objective331#0,"""มุ่งหน้าเข้าไปใน Leciel"""
Objective341#0,"""กำจัดศัตรู"""
Objective351#0,"""มุ่งหน้าเข้าไปใน Leciel"""
Objective361#0,"""กำจัดศัตรู"""
Objective371#0,"""มุ่งหน้าเข้าไปใน Leciel"""
Objective381#0,"""กำจัดศัตรู"""
Objective391#0,"""มุ่งหน้าเข้าไปใน Leciel"""
Objective401#0,"""กำจัดศัตรู"""
Objective411#0,"""มุ่งหน้าเข้าไปใน Leciel"""
Objective412#0,"""คุยกับไอน่า (Aina)"""
