name_7007#0,"""Лю Лин"""
ssq_014110_0010#0,"""Вы хорошо постарались. Теперь все Треиниа<br>в Эарио закончились."""
ssq_014110_0020#0,"""Я собрала хорошие данные. Они также будут<br>полезны для обучения ARKS."""
ssq_014110_0030#0,"""Тем не менее, Треиниа - загадочное место."""
ssq_014110_0040#0,"""Не известно, кто, когда и<br>с какой целью их создал."""
ssq_014110_0050#0,"""Мы используем их как тренировочные площадки,<br>но возможно они..."""
ssq_014110_0060#0,"""...и были так задуманы. Вы получили сертификат<br>мастера Треиниа. Поздравляю вас."""
ssq_014110_0070#0,"""Пожалуйста, прилагай все усилия и в будущем."""
ssq_014110_0101#0,"""Если так подумать, вы уже прошли все Треиниа."""
ssq_014110_0102#0,"""Хм-хм-хм... Это нельзя недооценивать."""
ssq_014110_0103#0,"""Тем не менее, Треиниа - загадочное место."""
ssq_014110_0104#0,"""Не известно, кто, когда и с какой целью их создал."""
ssq_014110_0105#0,"""Мы используем их как тренировочные площадки,<br>но возможно они..."""
ssq_014110_0106#0,"""...и были так задуманы. Вы получили сертификат<br>мастера Треиниа. Поздравляю вас."""
ssq_014110_0107#0,"""Пожалуйста, прилагай все усилия и в будущем."""
