name010#0,"""Garoa."""
text010#0,"""¡Ya vienen! ¡Tenemos que proteger la ciudad!"""
Text_PA#0,"""Photon Arts (PA):"""
Text_TEC#0,"""Técnica."""
Button_PATEC#0,"""<%PhotonArts>"""
Text_WA#0,"""Acción del arma:"""
Button_WA#0,"""<%MainPaletteC>"""
Text_ura_PATEC#0,"""paleta trasera\u3000"""
Text_ura_PA#0,"""Paleta trasera PA:"""
Text_ura_TEC#0,"""裏パレットテクニック："""
xx1#0,"""<%WeaponAction_2><pict 4space>mientras se pulsa<pict 4space><%NormalAttack>"""
xx2#0,"""Cambia a la paleta trasera.<pict 4space><%PhotonArts>"""
Text_item#0,"""Uso del objeto:"""
Button_item_Pad#0,"""<%SubPalette>"""
Button_item_Key#0,"""<%SubPalette1>"""
Text_Lock#0,"""Marcar:"""
Button_Lock#0,"""<%LockOn>"""
Text_ura_hold#0,"""Cambio de paleta trasera:"""
Text_ura_push#0,"""Cambio de paleta:"""
Button_ura_hold#0,"""<%WeaponAction_2><pict 4space>Mantenga pulsado"""
Button_ura_push#0,"""<%WeaponAction_2>"""
