name_7258#0,"""Arche"""
msn_016000_002_0000#0,"""ดูเหมือนจะมาถึงแล้วสินะ! นั่นแหละสิ่งที่เราเรียกว่า Creative Space ล่ะ"""
msn_016000_002_0001#0,"""จากข้อมูลแล้ว น่าจะมี 'เกาะ' แบบนี้อยู่อีกนับไม่ถ้วนเลยล่ะ"""
msn_016000_002_0002#0,"""ดังนั้นเกาะนี้ก็เหมือนเป็นที่พำนักส่วนตัวของเธอเลย! เป็นไงล่ะ เจ๋งไปเลยใช่มั้ย?"""
msn_016000_002_0003#0,"""จะทำอะไรกับที่นี่ก็ได้ตามใจชอบเลยล่ะ!"""
msn_016000_002_0004#0,"""อ้อ จริงด้วยสิ เห็นอาคารตรงหน้านั่นไหม?"""
msn_016000_002_0005#0,"""ฉันสร้างมันขึ้นมาเองแหละ ดูดีใช่ย่อยเลยใช่มั้ย?"""
msn_016000_002_0006#0,"""ใช้ประโยชน์ได้ตามสบายเลยนะ จะรื้อทิ้งไปเลยก็ได้เหมือนกัน ไม่เป็นไรหรอก!"""
msn_016000_002_0007#0,"""ก่อนอื่น จะสอนวิธีจัดการกับวัตถุต่างๆ บนเกาะให้ละกัน!"""
Guide_1#0,"""สลับเป็น Edit Mode:"""
Guide_2#0,"""<%MainPaletteC>"""
