name_7258#0,"""Arche"""
ssq_016024_0010#0,"""Yeah, lookin' good!"""
ssq_016024_0020#0,"""By using those features, you can customize your space just how you like it."""
ssq_016024_0030#0,"""Okay! That's the end of my lesson on Build Parts!"""
ssq_016024_0040#0,"""I'll teach you one more really cool thing about Creative Spaces."""
ssq_016024_0050#0,"""Guess what? You can even customize the terrain!"""
ssq_016024_0060#0,"""As to how exactly it all works, well, that's still up for investigation, but..."""
ssq_016024_0070#0,"""You let me worry about that stuff. Go on, try it out!"""
Guide_1#0,"""Open Build Menu:"""
Guide_2#0,"""<%MainPaletteC>"""
Guide_3#0,"""Terrain Up:"""
Guide_4#0,"""<%NormalAttack>"""
Guide_5#0,"""Terrain Down:"""
Guide_6#0,"""<%PhotonArts>"""
